################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   2.0502753229061565E-01   1.2287426872971154E-01   1.2182211628646791E-02
         1          2   3.8033584803114522E-02   1.9843485358651136E-01   1.1900027943186414E-01   1.1933811527701893E-02
         1          3   3.3335454613013259E-02   1.8691987757392933E-01   1.1085641075783757E-01   1.1461736042361621E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.9742845444829725E-02   1.0900100561220377E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2668473088125238E-02   3.8207033396521926E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2934604901334618E-02   9.6530189923004928E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2651505076537763E-03   1.0840076138082194E-03
         1          8   1.8855197103169671E-06   1.5735841661898180E-03   1.5557219242854744E-04   6.8292649770131664E-05
         1          9   5.0565546830039484E-02   6.1784605882791943E-01   1.9312637524550447E-01   6.2563145445993062E-02
         1         10   4.4046602699219208E-02   5.7808944519808181E-01   1.7288271638983385E-01   5.6166830566721684E-02
         1         11   3.2536652806271521E-02   5.0045606885981975E-01   1.3615845651050207E-01   4.4527709972357242E-02
         1         12   2.0496640856004257E-02   4.0645698353519072E-01   9.6784541706695926E-02   3.2037843603219256E-02
         1         13   6.4553885491769086E-04   8.4096529024456065E-02   6.8937495943679648E-03   2.9808760257472203E-03
         1         14   5.1362886002070231E-03   2.3476434973999735E-01   3.8097035186668300E-02   1.3750051109917923E-02
         1         15   7.2247397233213938E-06   2.3186233277804717E-02   3.5842839099838476E-04   3.8762848385835502E-04
         1         16   2.8655329382224037E-01   4.2823417348476500E+00   2.2488223590555303E+00   6.2581389893305706E-01
         1         17   3.5699082862581144E-01   2.3893852686515817E+00   1.3268026031139772E+00   3.0949858599955371E-01
         1         18   2.4253583906212917E-01   3.2390902211211126E+00   1.6670206086269932E+00   4.5575493975575732E-01
         1         19   3.3542904629093495E-01   1.8321570654269219E+00   1.0351162590518113E+00   2.2645546675740075E-01
         1         20   1.8503709795923420E-01   1.9282750408119291E+00   9.5631011906323204E-01   2.5851179476380465E-01
         1         21   2.8986050983056133E-01   1.1378224667342391E+00   6.7841840622400018E-01   1.3075214356036441E-01
         1         22   1.2998738560021622E-01   1.0888481433286117E+00   4.9973890300414853E-01   1.3772350098883832E-01
         1         23   2.3854599156072026E-01   7.3333132451787553E-01   4.4743417724641144E-01   7.3447181706994213E-02
         1         24   3.7582706215799405E-03   1.1938996442820581E-01   2.0272151012895853E-02   6.8005484844627590E-03
         1         25   2.6264315854344893E-02   1.1026631072011876E-01   6.6887343806133398E-02   6.9062902474879085E-03
         1         26   3.0755163107595053E-02   4.7110002381708893E-01   1.2775656366266475E-01   3.9093537985829714E-02
         1         27   1.2019388793373817E-01   3.8331574429224136E-01   2.3497545499751224E-01   2.7419092183826217E-02
         1         28   4.3577975936225564E-05   3.0730263743930054E-02   8.8610016215079433E-04   6.2596056949707662E-04
         1         29   2.0117247747006399E-03   3.2072765374445762E-02   1.1730730630851794E-02   1.9871753794948074E-03
         1         30   1.3853473119628652E-05   2.8637243729033790E-03   4.1720492304863954E-04   1.4518911956279559E-04
         1         31   1.0595545270776195E-04   9.3645626495014248E-03   1.1677714921638266E-03   5.3051840492231346E-04
         1         32   1.3652191108265146E-03   3.2292004001994175E-02   9.0699800411810118E-03   2.2134395042692654E-03
         1         33   5.0696469656585602E-06   8.0661612684419428E-03   1.9209170179840631E-04   2.3842349557658785E-04
         1         34   1.1463939088148362E-03   2.8278131902061319E-02   8.0943002508155927E-03   1.9323207264132518E-03
         1         35   9.7670114351111549E-04   2.5590514054224613E-02   7.2506030356691790E-03   1.7288489480638770E-03
         1         36   8.3561557071593301E-04   3.9958828762444984E-02   6.8017204680563643E-03   3.9808378738414177E-03
         1         37   1.0035648900871698E-02   1.1001893525988048E-01   3.7815346495669387E-02   1.2571999919116764E-02
         1         38   4.6412519767216797E-05   2.6297337093836571E-02   2.3693741851212075E-03   2.0933519753788773E-03
         1         39   9.0910310194114666E-03   9.5577812880960594E-02   3.3383000212734250E-02   1.0708413955493833E-02
         1         40   8.2635017547645837E-03   8.6241872894885926E-02   2.9893416100658488E-02   9.4996982801169427E-03
         1         41   2.3905486661473506E-08   5.2939341159472700E-02   1.8039492164169574E-02   8.7338288966543939E-03
         1         42   5.7485161297593679E-05   9.5294013586481569E-02   2.7523143378175321E-02   1.6414480294748089E-02
