################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4492493496418230E-02 a         1     0     1     1     1
 -6.4015960605375266E-01 a         2     0     1     1     2
 -2.3166324007773034E-01 a         3     0     1     1     3
  3.3413136643332325E-01 a         4     0     1     1     4
  2.1351369166486853E-01 a         5     0     1     1     5
  4.6990670675175455E-01 a         6     0     1     1     6
 -2.7002571877929599E-01 a         7     0     1     1     7
  8.2863397017283846E-02 a         8     0     1     1     8
 -3.7852363880624251E-01 a         9     0     1     1     9
  1.9508831145803218E-01 a        10     0     1     1    10
  1.8470527397987237E-02 a        11     0     1     1    11
 -2.9798786730421611E-01 a        12     0     1     1    12
  5.0524327985131616E-02 a        13     0     1     1    13
 -3.5510304434429413E-01 a        14     0     1     1    14
  1.4875438792531512E-01 a        15     0     1     1    15
 -1.8264188306556325E-01 a        16     0     1     1    16
 -7.3562101752866677E-02 a        17     0     1     1    17
 -3.6473413124439767E-02 a        18     0     1     1    18
  1.0152507521429405E-01 a        19     0     1     1    19
 -3.1479153707672897E-01 a        20     0     1     1    20
 -4.4594534340535874E-01 a        21     0     2     1     1
  9.3117649461904681E-03 a        22     0     2     1     2
  1.3730497127556579E-01 a        23     0     2     1     3
  3.7601944588474595E-01 a        24     0     2     1     4
 -2.2807536885042923E-01 a        25     0     2     1     5
  4.5052535599459814E-01 a        26     0     2     1     6
  3.3071521123654624E-01 a        27     0     2     1     7
  2.5854164381209449E-01 a        28     0     2     1     8
  2.3741985355113857E-01 a        29     0     2     1     9
 -2.7193424030679418E-02 a        30     0     2     1    10
  8.0556422109276368E-02 a        31     0     2     1    11
  1.3546764125920220E-02 a        32     0     2     1    12
 -6.5535723385322153E-02 a        33     0     2     1    13
 -1.5507405374376981E-01 a        34     0     2     1    14
 -4.2089861996131128E-02 a        35     0     2     1    15
 -1.8459601931399924E-01 a        36     0     2     1    16
 -1.3036631537649661E-02 a        37     0     2     1    17
  1.7789649817408104E-02 a        38     0     2     1    18
 -2.6429413974479771E-01 a        39     0     2     1    19
 -1.3144383734078158E-01 a        40     0     2     1    20
 -4.8475068734862188E-02 a        41     0     3     1     1
 -8.7754950168004373E-02 a        42     0     3     1     2
 -7.4093411476295321E-02 a        43     0     3     1     3
  1.8665337178488361E-01 a        44     0     3     1     4
  3.8264919265219688E-01 a        45     0     3     1     5
  1.5224279654547943E-01 a        46     0     3     1     6
  3.0030634342762147E-01 a        47     0     3     1     7
 -2.0843028954220032E-02 a        48     0     3     1     8
  3.9863003230066973E-01 a        49     0     3     1     9
 -3.8312412882517921E-01 a        50     0     3     1    10
 -3.6433583047514734E-01 a        51     0     3     1    11
  1.3753037785360117E-01 a        52     0     3     1    12
 -2.0788766507296361E-01 a        53     0     3     1    13
 -2.5265609371165154E-01 a        54     0     3     1    14
  4.6880493686688278E-02 a        55     0     3     1    15
  6.0492655622374984E-02 a        56     0     3     1    16
  6.5593825036439302E-01 a        57     0     3     1    17
 -1.0227150799735010E-01 a        58     0     3     1    18
  2.7241374916969041E-01 a        59     0     3     1    19
 -1.8123367049434380E-01 a        60     0     3     1    20
