################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.9192474005524940E-01 a         1     0     1     1     1
  2.2555576854595000E-01 a         2     0     1     1     2
  1.7243458289462019E-01 a         3     0     1     1     3
 -1.7672665089567582E-01 a         4     0     1     1     4
 -2.3565259192250040E-02 a         5     0     1     1     5
  3.6141962553088730E-01 a         6     0     1     1     6
 -5.9423810025574772E-02 a         7     0     1     1     7
 -7.1027555666250242E-02 a         8     0     1     1     8
 -1.3948738334849591E-02 a         9     0     1     1     9
  3.7606495621229766E-02 a        10     0     1     1    10
  1.8065314006692632E-01 a        11     0     1     1    11
  5.0107128064906936E-01 a        12     0     1     1    12
 -3.5797086574187031E-01 a        13     0     1     1    13
 -6.8475277947674260E-02 a        14     0     1     1    14
  1.1000123047374763E-02 a        15     0     1     1    15
 -4.7174845689172074E-02 a        16     0     1     1    16
  1.6607703375784130E-01 a        17     0     1     1    17
 -4.4504415616310244E-01 a        18     0     1     1    18
 -4.4701833209016062E-01 a        19     0     1     1    19
  5.6919052755737987E-01 a        20     0     1     1    20
 -1.0726513903582853E-02 a        21     0     2     1     1
  1.8503650427521841E-02 a        22     0     2     1     2
  2.1195136951030660E-01 a        23     0     2     1     3
 -8.5981422724932616E-02 a        24     0     2     1     4
 -4.5638434020105162E-01 a        25     0     2     1     5
  1.8955769440464221E-01 a        26     0     2     1     6
  9.3755563069201409E-02 a        27     0     2     1     7
 -1.5798615732957386E-01 a        28     0     2     1     8
  4.1370202708921300E-01 a        29     0     2     1     9
  1.5257018648644005E-01 a        30     0     2     1    10
  2.2488370926131795E-01 a        31     0     2     1    11
  5.3291341991016650E-01 a        32     0     2     1    12
 -5.0070515513242993E-02 a        33     0     2     1    13
  1.0785840102072361E-01 a        34     0     2     1    14
  1.3292672380307835E-01 a        35     0     2     1    15
 -1.3150644430634284E-01 a        36     0     2     1    16
 -8.4700323455071044E-02 a        37     0     2     1    17
 -1.6321871897603385E-01 a        38     0     2     1    18
 -4.3270211094616545E-01 a        39     0     2     1    19
 -1.5006347783781451E-01 a        40     0     2     1    20
 -2.5958701832088737E-01 a        41     0     3     1     1
  3.5586619929981446E-02 a        42     0     3     1     2
 -4.2363802253466663E-02 a        43     0     3     1     3
  7.6942327574367864E-02 a        44     0     3     1     4
  2.2827701133809780E-01 a        45     0     3     1     5
 -1.3575302992129185E-01 a        46     0     3     1     6
 -2.8408891762590538E-01 a        47     0     3     1     7
 -2.7566850396537945E-01 a        48     0     3     1     8
  2.7817921000763102E-01 a        49     0     3     1     9
 -1.1101851523768196E-01 a        50     0     3     1    10
  2.4676792255109334E-01 a        51     0     3     1    11
  4.6250895018388477E-01 a        52     0     3     1    12
  3.9640353339171944E-02 a        53     0     3     1    13
 -9.5475093400594624E-02 a        54     0     3     1    14
 -3.3715546189324352E-01 a        55     0     3     1    15
  5.0439008859552303E-01 a        56     0     3     1    16
 -1.7319378080619929E-01 a        57     0     3     1    17
  5.2373790763181050E-01 a        58     0     3     1    18
  8.9994444577556051E-02 a        59     0     3     1    19
 -8.4289591826124083E-02 a        60     0     3     1    20
 -2.1301804200204472E-02 a        61     0     4     1     1
 -3.7615517218199407E-01 a        62     0     4     1     2
 -4.4375294901346202E-01 a        63     0     4     1     3
 -1.5159143844459635E-01 a        64     0     4     1     4
  5.3404127602401441E-01 a        65     0     4     1     5
  2.5701279849130211E-02 a        66     0     4     1     6
  1.5431534392794696E-01 a        67     0     4     1     7
  7.3366293629909887E-02 a        68     0     4     1     8
  1.8980457474607282E-01 a        69     0     4     1     9
  1.4500907866952020E-01 a        70     0     4     1    10
 -1.6423244509234011E-01 a        71     0     4     1    11
 -1.4052885448244196E-01 a        72     0     4     1    12
  2.5971846391271275E-01 a        73     0     4     1    13
  1.3619735638345415E-01 a        74     0     4     1    14
 -1.7066444791683225E-01 a        75     0     4     1    15
  3.0832358864897658E-01 a        76     0     4     1    16
  1.6698439718981084E-01 a        77     0     4     1    17
  6.4245039469456711E-01 a        78     0     4     1    18
  1.5401844752446159E-01 a        79     0     4     1    19
 -2.4568351943041244E-01 a        80     0     4     1    20
  5.2610300555596257E-01 a        81     0     5     1     1
 -7.8393822345789677E-01 a        82     0     5     1     2
  1.8830158560658841E-01 a        83     0     5     1     3
 -1.0370288819458425E-02 a        84     0     5     1     4
 -1.1679133426890695E-01 a        85     0     5     1     5
 -5.7911845550383045E-01 a        86     0     5     1     6
 -2.0649514461752819E-01 a        87     0     5     1     7
 -1.8026642069877322E-01 a        88     0     5     1     8
  6.7661488479739171E-02 a        89     0     5     1     9
  2.8149050345766841E-01 a        90     0     5     1    10
 -1.9984838487878975E-01 a        91     0     5     1    11
 -3.3889141724072264E-01 a        92     0     5     1    12
  3.2231946192054001E-01 a        93     0     5     1    13
 -1.6353986916998473E-01 a        94     0     5     1    14
  2.1846922323239484E-01 a        95     0     5     1    15
 -8.4332787755134267E-03 a        96     0     5     1    16
  1.0842234202274194E-01 a        97     0     5     1    17
  7.9435140071813279E-02 a        98     0     5     1    18
  3.3823225845791183E-01 a        99     0     5     1    19
 -4.0051631806296772E-01 a       100     0     5     1    20
 -9.2605913893605649E-03 a       101     0     6     1     1
 -4.4557796005989758E-01 a       102     0     6     1     2
  4.4870107720675362E-01 a       103     0     6     1     3
  3.7633938314685568E-02 a       104     0     6     1     4
  3.9528437277200679E-01 a       105     0     6     1     5
 -3.1259607456026345E-01 a       106     0     6     1     6
  2.7710258731020865E-01 a       107     0     6     1     7
  1.1748030733847287E-01 a       108     0     6     1     8
 -1.8215754863675523E-01 a       109     0     6     1     9
  4.3646793785615512E-01 a       110     0     6     1    10
 -2.7914017791147755E-01 a       111     0     6     1    11
 -3.5578581107479512E-01 a       112     0     6     1    12
  5.8406562479994328E-01 a       113     0     6     1    13
  1.1984624982450001E-01 a       114     0     6     1    14
  2.0065914802447984E-01 a       115     0     6     1    15
  6.1787868623631163E-02 a       116     0     6     1    16
 -9.3753474176435328E-02 a       117     0     6     1    17
  4.7965194766724378E-01 a       118     0     6     1    18
  3.1668740507672273E-02 a       119     0     6     1    19
