################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   2.0502753229061565E-01   1.2287426872971154E-01   1.2182211628646678E-02
         1          2   3.8033584803114522E-02   1.9843485358651136E-01   1.1900027943186411E-01   1.1933811527702239E-02
         1          3   3.3335454613013259E-02   1.8691987757392933E-01   1.1085641075783753E-01   1.1461736042362100E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.9742845444829711E-02   1.0900100561220439E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2668473088125238E-02   3.8207033396521926E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2934604901334618E-02   9.6530189923006004E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2651505076537737E-03   1.0840076138082331E-03
         1          8   1.8855197103169671E-06   1.5735841661898180E-03   1.5557219242854752E-04   6.8292649770131461E-05
         1          9   5.0565546830039484E-02   6.1784605882791943E-01   1.9312637524550444E-01   6.2563145445993062E-02
         1         10   4.4046602699219208E-02   5.7808944519808181E-01   1.7288271638983382E-01   5.6166830566721684E-02
         1         11   3.2536652806271521E-02   5.0045606885981975E-01   1.3615845651050207E-01   4.4527709972357304E-02
         1         12   2.0496640856004257E-02   4.0645698353519072E-01   9.6784541706695926E-02   3.2037843603219235E-02
         1         13   6.4553885491769086E-04   8.4096529024456065E-02   6.8937495943679691E-03   2.9808760257472085E-03
         1         14   5.1362886002070231E-03   2.3476434973999735E-01   3.8097035186668293E-02   1.3750051109917928E-02
         1         15   7.2247397233213938E-06   2.3186233277804717E-02   3.5842839099838465E-04   3.8762848385835513E-04
         1         16   2.8655329382224037E-01   4.2823417348476500E+00   2.2488223590555312E+00   6.2581389893305817E-01
         1         17   3.5699082862581144E-01   2.3893852686515817E+00   1.3268026031139770E+00   3.0949858599955482E-01
         1         18   2.4253583906212917E-01   3.2390902211211126E+00   1.6670206086269925E+00   4.5575493975575965E-01
         1         19   3.3542904629093495E-01   1.8321570654269219E+00   1.0351162590518113E+00   2.2645546675739958E-01
