################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.1281275575585878E-01 a         1     0     1     1     1
  1.5241173343637657E-01 a         2     0     1     1     2
  3.2441176424305623E-01 a         3     0     1     1     3
  7.3500791950436989E-02 a         4     0     1     1     4
  3.1173113317018170E-01 a         5     0     1     1     5
  3.0972672165494852E-01 a         6     0     1     1     6
  1.7127938078903646E-01 a         7     0     1     1     7
  8.6954569676485696E-02 a         8     0     1     1     8
  1.3645765151860506E-01 a         9     0     1     1     9
  4.7002044975469476E-02 a        10     0     1     1    10
 -8.2344551996712312E-01 a        11     0     1     1    11
 -9.8855210440260313E-02 a        12     0     1     1    12
 -1.6371141352123106E-01 a        13     0     1     1    13
 -3.6504239738300731E-01 a        14     0     1     1    14
 -1.4366710448345213E-01 a        15     0     1     1    15
 -7.5078282571881927E-02 a        16     0     1     1    16
  5.3686539985486015E-01 a        17     0     1     1    17
  4.6009666602950838E-01 a        18     0     1     1    18
  7.2098482581750967E-01 a        19     0     1     1    19
 -1.0017733834071677E-02 a        20     0     1     1    20
 -2.3813418692939278E-01 a        21     0     2     1     1
  1.3934465224735293E-01 a        22     0     2     1     2
  1.4110051024472728E-01 a        23     0     2     1     3
 -3.4323007678050205E-01 a        24     0     2     1     4
  7.3703983307353851E-02 a        25     0     2     1     5
  1.8388865028233983E-01 a        26     0     2     1     6
  7.7932225262273933E-02 a        27     0     2     1     7
 -1.1972282580976731E-02 a        28     0     2     1     8
 -2.9134732971545058E-01 a        29     0     2     1     9
 -6.6879004139546394E-02 a        30     0     2     1    10
 -5.9264678306368457E-01 a        31     0     2     1    11
 -5.1937484777769471E-01 a        32     0     2     1    12
  2.6606798438594004E-01 a        33     0     2     1    13
  2.0636049314434807E-01 a        34     0     2     1    14
 -3.4929557043452503E-01 a        35     0     2     1    15
  2.4029041685336552E-01 a        36     0     2     1    16
  2.1796871080379965E-01 a        37     0     2     1    17
 -1.1175384112049468E-01 a        38     0     2     1    18
  2.1996478024580005E-01 a        39     0     2     1    19
 -4.0417813548083714E-02 a        40     0     2     1    20
 -7.1631652262428486E-02 a        41     0     3     1     1
  1.4518269989621088E-01 a        42     0     3     1     2
 -4.2712950785511711E-01 a        43     0     3     1     3
 -2.0239901140313674E-01 a        44     0     3     1     4
 -1.4816670567198581E-01 a        45     0     3     1     5
  3.0387285085615989E-01 a        46     0     3     1     6
  3.2186803669073344E-01 a        47     0     3     1     7
  6.9493066157559513E-02 a        48     0     3     1     8
  2.6039256300360714E-01 a        49     0     3     1     9
 -4.7368347618139456E-01 a        50     0     3     1    10
  7.1210171183933843E-02 a        51     0     3     1    11
 -2.8960423661408918E-01 a        52     0     3     1    12
 -3.7274976914295244E-01 a        53     0     3     1    13
 -1.4911150391166495E-02 a        54     0     3     1    14
