################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0747768921532128E-01 a         1     0     1     1     1
  3.4731366829491728E-01 a         2     0     1     1     2
 -4.0005646749733570E-01 a         3     0     1     1     3
  1.0353997825857957E-01 a         4     0     1     1     4
 -4.3401207369751316E-01 a         5     0     1     1     5
 -2.1397771601208976E-01 a         6     0     1     1     6
 -3.2963507448732710E-01 a         7     0     1     1     7
 -1.6336904112348263E-01 a         8     0     1     1     8
  2.2186953993217817E-01 a         9     0     1     1     9
  2.4881846644025965E-01 a        10     0     1     1    10
  5.1512464218434761E-01 a        11     0     1     1    11
 -1.5300465173796068E-01 a        12     0     1     1    12
 -4.5079524063014736E-01 a        13     0     1     1    13
  1.4984587201201316E-01 a        14     0     1     1    14
 -1.3434522017413875E-01 a        15     0     1     1    15
  4.8891228719604002E-01 a        16     0     1     1    16
  2.4959052180156296E-01 a        17     0     1     1    17
 -5.4869311907868007E-02 a        18     0     1     1    18
  3.0473761080544320E-01 a        19     0     1     1    19
  3.1402578147670340E-01 a        20     0     1     1    20
 -9.8786330801786879E-02 a        21     0     2     1     1
 -1.4258259553754876E-01 a        22     0     2     1     2
 -1.5894821716352220E-01 a        23     0     2     1     3
 -2.6899556787737905E-01 a        24     0     2     1     4
 -1.9727360389861676E-01 a        25     0     2     1     5
  8.8292427923522647E-03 a        26     0     2     1     6
 -2.9661045861670815E-01 a        27     0     2     1     7
  1.5850850964960239E-01 a        28     0     2     1     8
  3.1910497445922487E-01 a        29     0     2     1     9
  1.4441173936570820E-01 a        30     0     2     1    10
 -3.4655956711326881E-02 a        31     0     2     1    11
  1.2682226130175431E-01 a        32     0     2     1    12
  3.5214271051994636E-02 a        33     0     2     1    13
 -1.4381240772066375E-01 a        34     0     2     1    14
  3.4055768762356714E-01 a        35     0     2     1    15
  3.7290948457418829E-02 a        36     0     2     1    16
  1.5940141589220289E-03 a        37     0     2     1    17
 -2.5843616443364065E-01 a        38     0     2     1    18
 -2.6408659069606993E-01 a        39     0     2     1    19
 -2.0538848066833731E-01 a        40     0     2     1    20
 -2.7778876108373168E-01 a        41     0     3     1     1
  2.5557572649850541E-01 a        42     0     3     1     2
  2.5981586132352952E-01 a        43     0     3     1     3
 -5.0307250005173047E-02 a        44     0     3     1     4
 -5.1948685383622573E-02 a        45     0     3     1     5
  1.1571297015143567E-01 a        46     0     3     1     6
 -6.9559272342370526E-02 a        47     0     3     1     7
 -2.6877180833091312E-02 a        48     0     3     1     8
 -1.1062949961777113E-01 a        49     0     3     1     9
  7.7671162300191020E-03 a        50     0     3     1    10
 -2.8236657582675773E-01 a        51     0     3     1    11
  2.6010220096489345E-01 a        52     0     3     1    12
 -2.3808524680686174E-01 a        53     0     3     1    13
 -1.2517302997834748E-01 a        54     0     3     1    14
  7.7810441423212164E-03 a        55     0     3     1    15
 -4.5743990585601829E-01 a        56     0     3     1    16
 -1.4674015991343581E-01 a        57     0     3     1    17
  3.7137401035811320E-02 a        58     0     3     1    18
 -2.2249345290280437E-01 a        59     0     3     1    19
 -6.2230491352890749E-01 a        60     0     3     1    20
 -1.5665807009918209E-01 a        61     0     4     1     1
 -5.4858135588558135E-02 a        62     0     4     1     2
  1.8904097750499854E-01 a        63     0     4     1     3
  2.6372942378862196E-01 a        64     0     4     1     4
 -2.6989871826025430E-01 a        65     0     4     1     5
  2.3116047567586406E-01 a        66     0     4     1     6
  4.6766198961025646E-01 a        67     0     4     1     7
