################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0932507459335775E-01 a         1     0     1     1     1
 -6.5103721515309176E-01 a         2     0     1     1     2
  1.9938196288789228E-01 a         3     0     1     1     3
 -4.5331334760878743E-02 a         4     0     1     1     4
  1.3651784212674525E-01 a         5     0     1     1     5
 -1.4601479659619243E-01 a         6     0     1     1     6
  1.3284539671251880E-01 a         7     0     1     1     7
  9.5424741691806717E-02 a         8     0     1     1     8
  3.5028334444431503E-01 a         9     0     1     1     9
  6.0467291033133908E-01 a        10     0     1     1    10
 -2.1647314352767671E-01 a        11     0     1     1    11
  4.9069619788671651E-02 a        12     0     1     1    12
 -3.3115931420819283E-01 a        13     0     1     1    13
 -2.6131910328925179E-01 a        14     0     1     1    14
 -5.4276435766576155E-02 a        15     0     1     1    15
  9.6354783297168609E-02 a        16     0     1     1    16
 -1.9925529677715989E-01 a        17     0     1     1    17
 -4.0940023803835079E-01 a        18     0     1     1    18
  4.3006808274667074E-01 a        19     0     1     1    19
 -4.8117606766138460E-01 a        20     0     1     1    20
 -4.1984104020140758E-02 a        21     0     2     1     1
 -2.7713874045871517E-01 a        22     0     2     1     2
  2.6883440267012593E-01 a        23     0     2     1     3
 -2.9216852257422543E-01 a        24     0     2     1     4
  3.0242731883562857E-01 a        25     0     2     1     5
 -2.0335171617822981E-01 a        26     0     2     1     6
  2.8920863995518804E-02 a        27     0     2     1     7
  1.4122649239730567E-01 a        28     0     2     1     8
  1.8337083475612503E-01 a        29     0     2     1     9
  3.2318216862820565E-01 a        30     0     2     1    10
  3.4460485991090711E-01 a        31     0     2     1    11
 -2.1177890876841082E-01 a        32     0     2     1    12
 -3.9719427066801150E-01 a        33     0     2     1    13
 -1.8863755674783884E-02 a        34     0     2     1    14
  1.1267285862205995E-01 a        35     0     2     1    15
 -2.4333085080721467E-01 a        36     0     2     1    16
 -1.4251310155366922E-01 a        37     0     2     1    17
 -5.3303801834732843E-02 a        38     0     2     1    18
 -2.9099364114835224E-01 a        39     0     2     1    19
 -2.2113820972380102E-01 a        40     0     2     1    20
  6.1615697589154458E-02 a        41     0     3     1     1
 -2.3978727254173444E-02 a        42     0     3     1     2
 -1.3423405891602636E-01 a        43     0     3     1     3
  2.7021395721085578E-01 a        44     0     3     1     4
 -2.1683668950947710E-01 a        45     0     3     1     5
 -4.0969582909613639E-01 a        46     0     3     1     6
 -2.3241150275958691E-01 a        47     0     3     1     7
  1.5098516580545257E-01 a        48     0     3     1     8
 -2.5194029394455991E-01 a        49     0     3     1     9
  4.2981562422204067E-01 a        50     0     3     1    10
  2.3461502086446880E-02 a        51     0     3     1    11
  3.2148886603020382E-01 a        52     0     3     1    12
  6.9063424862778652E-02 a        53     0     3     1    13
  3.8692011337016191E-01 a        54     0     3     1    14
 -3.5157857604439491E-01 a        55     0     3     1    15
 -5.7300391110189600E-02 a        56     0     3     1    16
 -9.7971337732438074E-02 a        57     0     3     1    17
  5.3023636144655928E-01 a        58     0     3     1    18
  2.6734498080176528E-02 a        59     0     3     1    19
  2.5029945216086580E-01 a        60     0     3     1    20
 -3.5862312199833705E-02 a        61     0     4     1     1
  5.0478488139545519E-01 a        62     0     4     1     2
 -4.7815272332048830E-01 a        63     0     4     1     3
  7.7188994967112332E-02 a        64     0     4     1     4
 -7.0898625951271277E-02 a        65     0     4     1     5
  3.3829967186275740E-02 a        66     0     4     1     6
  1.1212715719824914E-01 a        67     0     4     1     7
 -1.4918389142329957E-01 a        68     0     4     1     8
 -5.3894217608456127E-02 a        69     0     4     1     9
 -1.6989264680377295E-01 a        70     0     4     1    10
 -3.2669517201332121E-01 a        71     0     4     1    11
  4.3849456630648875E-01 a        72     0     4     1    12
  8.5661714409399334E-02 a        73     0     4     1    13
  2.0032295062696649E-02 a        74     0     4     1    14
  3.0869233388479028E-01 a        75     0     4     1    15
  2.5869577899078117E-01 a        76     0     4     1    16
 -8.1842774383492772E-02 a        77     0     4     1    17
  4.4775255402336922E-01 a        78     0     4     1    18
  2.2342309704647262E-02 a        79     0     4     1    19
  4.7326718118915576E-02 a        80     0     4     1    20
 -1.3451674110644340E-01 a        81     0     5     1     1
 -5.1690533423810213E-02 a        82     0     5     1     2
  1.3144147157531766E-01 a        83     0     5     1     3
  7.9151078409441133E-02 a        84     0     5     1     4
  1.6550011304150444E-01 a        85     0     5     1     5
  8.4034848473137136E-01 a        86     0     5     1     6
 -1.6227906139362480E-01 a        87     0     5     1     7
 -3.0829739915017539E-02 a        88     0     5     1     8
 -4.1759178634220179E-01 a        89     0     5     1     9
 -5.8530467160244559E-01 a        90     0     5     1    10
 -3.7304221104519308E-01 a        91     0     5     1    11
 -6.6114228069308956E-01 a        92     0     5     1    12
  1.5151623370265260E-01 a        93     0     5     1    13
 -4.4033185405953429E-01 a        94     0     5     1    14
  4.2841872535301762E-01 a        95     0     5     1    15
  3.1137224845240224E-01 a        96     0     5     1    16
  1.4497711975231800E-01 a        97     0     5     1    17
 -3.3975948368030207E-01 a        98     0     5     1    18
 -3.7943456148068584E-04 a        99     0     5     1    19
  2.0703924417675446E-01 a       100     0     5     1    20
 -5.1106726561608619E-02 a       101     0     6     1     1
  1.2490175996967263E-01 a       102     0     6     1     2
 -1.0713790746205053E-01 a       103     0     6     1     3
 -4.9920070301008833E-02 a       104     0     6     1     4
 -1.7639683972979966E-01 a       105     0     6     1     5
  4.5795837112061988E-01 a       106     0     6     1     6
 -7.3356537292688040E-01 a       107     0     6     1     7
 -2.8063564968200819E-03 a       108     0     6     1     8
 -1.3038270287917131E+00 a       109     0     6     1     9
 -4.0554981031636339E-01 a       110     0     6     1    10
 -1.8777963102456507E-01 a       111     0     6     1    11
 -3.2463125402858023E-01 a       112     0     6     1    12
  9.3748675955987307E-02 a       113     0     6     1    13
 -2.4873474735550728E-02 a       114     0     6     1    14
  3.5834471418213210E-01 a       115     0     6     1    15
 -3.2071744616335129E-01 a       116     0     6     1    16
  2.6288371446933878E-01 a       117     0     6     1    17
  9.3004413227814631E-01 a       118     0     6     1    18
 -4.6451943823434477E-01 a       119     0     6     1    19
 -1.4731375289276277E-01 a       120     0     6     1    20
  2.5962758752914511E-01 a       121     0     7     1     1
 -3.2555334657720320E-01 a       122     0     7     1     2
 -9.7502899572800472E-01 a       123     0     7     1     3
  9.7238070387526160E-02 a       124     0     7     1     4
  4.6346509743588449E-02 a       125     0     7     1     5
 -5.9299875641558930E-01 a       126     0     7     1     6
  2.4180591806114057E-01 a       127     0     7     1     7
  2.3416425600311846E-01 a       128     0     7     1     8
  1.7298912990213196E+00 a       129     0     7     1     9
  4.6489351596604511E-01 a       130     0     7     1    10
  6.2485105597014978E-01 a       131     0     7     1    11
  3.6026915291235090E-01 a       132     0     7     1    12
  4.0025623149308687E-02 a       133     0     7     1    13
  5.9511290391982596E-01 a       134     0     7     1    14
  1.2099825133242308E-01 a       135     0     7     1    15
  1.2360977169445955E-01 a       136     0     7     1    16
 -4.4008912288750257E-01 a       137     0     7     1    17
