################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.8385158848122466E-01 a         1     0     1     1     1
  2.2319153093176841E-01 a         2     0     1     1     2
 -2.8872880381173677E-01 a         3     0     1     1     3
 -1.2498338574525279E-01 a         4     0     1     1     4
 -7.1479847496860427E-02 a         5     0     1     1     5
  4.6342313568661420E-01 a         6     0     1     1     6
 -2.4221287558427979E-01 a         7     0     1     1     7
 -1.5353262292128264E-01 a         8     0     1     1     8
 -1.1657825665097847E-01 a         9     0     1     1     9
  1.3713150923030740E-01 a        10     0     1     1    10
 -5.4624287337524412E-02 a        11     0     1     1    11
  2.5652609722947850E-01 a        12     0     1     1    12
 -2.7049446047239561E-01 a        13     0     1     1    13
 -1.4836422265829502E-01 a        14     0     1     1    14
  5.7538860276285818E-02 a        15     0     1     1    15
  1.1994960194828998E-01 a        16     0     1     1    16
  4.2694845838852233E-02 a        17     0     1     1    17
  3.7129924877727170E-02 a        18     0     1     1    18
 -3.3646118192008195E-01 a        19     0     1     1    19
  3.8965622015672979E-01 a        20     0     1     1    20
  1.1559758096729139E-01 a        21     0     2     1     1
 -2.8100623890715204E-01 a        22     0     2     1     2
 -3.2031026388500999E-01 a        23     0     2     1     3
 -4.8821358122891741E-02 a        24     0     2     1     4
  3.1179567992362343E-03 a        25     0     2     1     5
 -1.0123389645132137E-02 a        26     0     2     1     6
 -6.0571658862892386E-01 a        27     0     2     1     7
 -2.5945665696849557E-01 a        28     0     2     1     8
  1.0264658262953825E-01 a        29     0     2     1     9
  1.2550217220365209E-01 a        30     0     2     1    10
 -2.1431073639604326E-02 a        31     0     2     1    11
  9.0068057527121465E-02 a        32     0     2     1    12
 -3.3475125588840210E-01 a        33     0     2     1    13
  9.5667937031954670E-02 a        34     0     2     1    14
  3.0593495013230954E-01 a        35     0     2     1    15
  1.9482478345205315E-01 a        36     0     2     1    16
 -3.1832092524991679E-01 a        37     0     2     1    17
  5.1801646288911853E-02 a        38     0     2     1    18
 -2.1554730839815763E-02 a        39     0     2     1    19
  1.7052411630827635E-01 a        40     0     2     1    20
  3.4815178601960017E-01 a        41     0     3     1     1
  8.4085861179657440E-02 a        42     0     3     1     2
  6.2626752569994892E-02 a        43     0     3     1     3
 -2.6816177944323529E-02 a        44     0     3     1     4
 -1.8732952942948211E-01 a        45     0     3     1     5
  4.5942013088740810E-02 a        46     0     3     1     6
  1.4573904395545778E-01 a        47     0     3     1     7
  3.4144753180092624E-01 a        48     0     3     1     8
 -3.6842216542559390E-02 a        49     0     3     1     9
  2.7430049927872785E-01 a        50     0     3     1    10
  3.2081082978204156E-01 a        51     0     3     1    11
  3.1030854417180542E-01 a        52     0     3     1    12
  2.0628501500416929E-01 a        53     0     3     1    13
 -2.2589571905890990E-01 a        54     0     3     1    14
 -1.9684544110946070E-01 a        55     0     3     1    15
 -3.2536750044995405E-01 a        56     0     3     1    16
 -1.8083293395670688E-01 a        57     0     3     1    17
 -3.1917296111365423E-01 a        58     0     3     1    18
 -2.5685604515364974E-01 a        59     0     3     1    19
 -1.6877814587432108E-01 a        60     0     3     1    20
  3.9606441052276703E-02 a        61     0     4     1     1
 -6.0048669299655480E-02 a        62     0     4     1     2
  5.0045433876718692E-01 a        63     0     4     1     3
  3.6401805308703067E-01 a        64     0     4     1     4
 -5.1691929467865848E-02 a        65     0     4     1     5
 -3.5112884470066880E-01 a        66     0     4     1     6
  6.2169962480262209E-01 a        67     0     4     1     7
 -3.4349417042776059E-01 a        68     0     4     1     8
 -2.4056485401175126E-01 a        69     0     4     1     9
 -1.7423400725120014E-01 a        70     0     4     1    10
  5.6057989996172774E-03 a        71     0     4     1    11
 -1.6966502106094375E-01 a        72     0     4     1    12
 -1.3564953783152017E-01 a        73     0     4     1    13
  7.7740599741740288E-02 a        74     0     4     1    14
 -1.4277816332518090E-01 a        75     0     4     1    15
  3.2294210803138734E-01 a        76     0     4     1    16
  3.5125929249174520E-01 a        77     0     4     1    17
 -1.9241825592563665E-02 a        78     0     4     1    18
  4.0591359152813622E-01 a        79     0     4     1    19
  1.8414610464890388E-01 a        80     0     4     1    20
 -3.1379059706677870E-01 a        81     0     5     1     1
 -2.6008675789464036E-01 a        82     0     5     1     2
 -1.8752239254114783E-01 a        83     0     5     1     3
 -5.4629356595356082E-01 a        84     0     5     1     4
  4.5070935749454982E-01 a        85     0     5     1     5
 -2.8087311885682931E-01 a        86     0     5     1     6
 -6.0028065998118163E-01 a        87     0     5     1     7
  4.8159654495881510E-01 a        88     0     5     1     8
  1.6880287457120216E-01 a        89     0     5     1     9
 -5.0886282560278229E-01 a        90     0     5     1    10
 -3.0611862386177485E-01 a        91     0     5     1    11
 -1.5036091984707536E-01 a        92     0     5     1    12
  3.4450537589521774E-01 a        93     0     5     1    13
  2.4837597674297679E-01 a        94     0     5     1    14
  6.2826485777282143E-02 a        95     0     5     1    15
  3.6481342522147790E-02 a        96     0     5     1    16
  9.4043996635627056E-02 a        97     0     5     1    17
 -6.0037339611182822E-02 a        98     0     5     1    18
  3.0777045203901430E-02 a        99     0     5     1    19
 -7.5239450901392765E-02 a       100     0     5     1    20
 -2.5345349235151154E-01 a       101     0     6     1     1
 -1.1873125423037195E-01 a       102     0     6     1     2
 -1.4309111408999936E-01 a       103     0     6     1     3
 -3.1264955036021297E-01 a       104     0     6     1     4
  2.9319159772396153E-01 a       105     0     6     1     5
 -4.3433077415103660E-01 a       106     0     6     1     6
  2.3853664108365691E-01 a       107     0     6     1     7
  1.5492757518942588E-02 a       108     0     6     1     8
 -1.4300195641267948E-02 a       109     0     6     1     9
  1.5427084621935488E-01 a       110     0     6     1    10
  1.3957346116642577E-01 a       111     0     6     1    11
 -5.1458437411262681E-01 a       112     0     6     1    12
 -5.8760213180202095E-02 a       113     0     6     1    13
 -9.3974948438718831E-03 a       114     0     6     1    14
 -4.5316157594389095E-01 a       115     0     6     1    15
 -3.5499226567762054E-02 a       116     0     6     1    16
  2.1084519762713638E-01 a       117     0     6     1    17
  4.7682189814713344E-01 a       118     0     6     1    18
  6.1796162417892175E-01 a       119     0     6     1    19
 -2.5823508370577913E-01 a       120     0     6     1    20
  5.5491951021376040E-01 a       121     0     7     1     1
 -3.0927572746477516E-01 a       122     0     7     1     2
 -2.4261847473875020E-01 a       123     0     7     1     3
  2.4347712580051872E-02 a       124     0     7     1     4
