################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7358942320404705E-01 a         1     0     1     1     1
  1.4274193560874612E-01 a         2     0     1     1     2
 -1.2243585627897766E-01 a         3     0     1     1     3
  8.3764424890213407E-02 a         4     0     1     1     4
  4.3056272299638168E-02 a         5     0     1     1     5
  1.9534746729174185E-01 a         6     0     1     1     6
 -3.5029091224061414E-02 a         7     0     1     1     7
 -7.2097868188481545E-02 a         8     0     1     1     8
 -2.3813099746007402E-02 a         9     0     1     1     9
 -5.3378418490593449E-01 a        10     0     1     1    10
  4.6691924888472666E-02 a        11     0     1     1    11
 -2.4944290417434400E-01 a        12     0     1     1    12
  8.2439809662420011E-03 a        13     0     1     1    13
 -5.2568027743109584E-02 a        14     0     1     1    14
 -2.0881912243654491E-01 a        15     0     1     1    15
  1.0552847896302317E-01 a        16     0     1     1    16
 -2.5041270236412005E-01 a        17     0     1     1    17
  1.2180686360311598E-01 a        18     0     1     1    18
  1.4847902255665130E-01 a        19     0     1     1    19
 -5.2370644511360753E-02 a        20     0     1     1    20
  3.3616335242752503E-02 a        21     0     2     1     1
  3.2229975756480861E-01 a        22     0     2     1     2
 -1.1966165094568568E-01 a        23     0     2     1     3
  8.1987345570546433E-02 a        24     0     2     1     4
 -3.6341239541299852E-01 a        25     0     2     1     5
 -4.3602969218356075E-03 a        26     0     2     1     6
 -5.0267023044848480E-01 a        27     0     2     1     7
  4.4774113854802211E-01 a        28     0     2     1     8
  1.8326465769569109E-01 a        29     0     2     1     9
  1.8019122947386934E-01 a        30     0     2     1    10
  3.2558741794756380E-01 a        31     0     2     1    11
  1.1737826543596928E-01 a        32     0     2     1    12
 -3.3155993293718350E-01 a        33     0     2     1    13
 -2.2643887831395215E-01 a        34     0     2     1    14
 -7.6923100536182010E-02 a        35     0     2     1    15
 -1.2921413977754884E-01 a        36     0     2     1    16
  2.7222918933723361E-02 a        37     0     2     1    17
  1.7996426253900838E-01 a        38     0     2     1    18
  1.3325232302542922E-01 a        39     0     2     1    19
  1.0527885810087424E-01 a        40     0     2     1    20
 -3.7054739307332746E-01 a        41     0     3     1     1
  2.1377403488505756E-01 a        42     0     3     1     2
  1.1030164479058766E-01 a        43     0     3     1     3
 -5.8843718409239090E-02 a        44     0     3     1     4
 -2.4601053605429121E-01 a        45     0     3     1     5
 -2.2935056731503264E-01 a        46     0     3     1     6
  8.8200846448077297E-02 a        47     0     3     1     7
 -1.1334217757300993E-04 a        48     0     3     1     8
 -7.7243442474230373E-02 a        49     0     3     1     9
  2.3043216971076863E-02 a        50     0     3     1    10
 -1.9217360873389389E-01 a        51     0     3     1    11
  2.4683831610451598E-01 a        52     0     3     1    12
  6.2004350444364975E-02 a        53     0     3     1    13
  2.2684051927994525E-01 a        54     0     3     1    14
  3.1440468199136640E-01 a        55     0     3     1    15
  3.6673066335713606E-01 a        56     0     3     1    16
  1.2958149210903921E-01 a        57     0     3     1    17
  1.2368906201536689E-01 a        58     0     3     1    18
 -2.4174854918590097E-01 a        59     0     3     1    19
 -4.6434853249689599E-03 a        60     0     3     1    20
 -2.8687919260303263E-01 a        61     0     4     1     1
 -3.0574477365533287E-01 a        62     0     4     1     2
 -4.5154666074164747E-02 a        63     0     4     1     3
  2.7526475197865602E-01 a        64     0     4     1     4
  1.4858317082331363E-02 a        65     0     4     1     5
 -2.1570525527690379E-01 a        66     0     4     1     6
  1.8308988096605311E-01 a        67     0     4     1     7
 -9.9968634227497896E-02 a        68     0     4     1     8
  6.2549006382955200E-02 a        69     0     4     1     9
  3.7067437008933513E-01 a        70     0     4     1    10
 -1.2339527568544084E-01 a        71     0     4     1    11
  2.6681860113659156E-01 a        72     0     4     1    12
 -5.5269883812966519E-02 a        73     0     4     1    13
  3.9058471288093345E-02 a        74     0     4     1    14
 -1.4794557640846598E-01 a        75     0     4     1    15
  2.5085889991633886E-01 a        76     0     4     1    16
  1.3142543604004428E-01 a        77     0     4     1    17
 -2.3321282203325258E-01 a        78     0     4     1    18
 -1.9309165611266724E-01 a        79     0     4     1    19
  1.2141632793788788E-01 a        80     0     4     1    20
  2.0593174625102312E-02 a        81     0     5     1     1
  8.7716995832033207E-04 a        82     0     5     1     2
 -2.9920733312492576E-01 a        83     0     5     1     3
  2.4548157574512730E-01 a        84     0     5     1     4
  4.1167217290446878E-01 a        85     0     5     1     5
  3.1639126869538237E-01 a        86     0     5     1     6
 -4.3267287658052274E-02 a        87     0     5     1     7
  6.5131752903129073E-02 a        88     0     5     1     8
 -1.9139355591693905E-01 a        89     0     5     1     9
 -2.1590390632306966E-01 a        90     0     5     1    10
 -9.3012283101073345E-02 a        91     0     5     1    11
  9.7826093487056759E-02 a        92     0     5     1    12
 -5.0604562821738343E-02 a        93     0     5     1    13
  1.1787808810156612E-02 a        94     0     5     1    14
  3.9671953817603217E-01 a        95     0     5     1    15
 -5.7522681622961658E-01 a        96     0     5     1    16
  5.2669378501625390E-02 a        97     0     5     1    17
  4.1375341152252880E-02 a        98     0     5     1    18
  1.0971244695801081E-01 a        99     0     5     1    19
 -1.5913931531218149E-02 a       100     0     5     1    20
 -3.0149843312594060E-01 a       101     0     6     1     1
