################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.9749370741757523E-02 a         1     0     1     1     1
 -8.3752338213526831E-02 a         2     0     1     1     2
  2.2410679915924742E-01 a         3     0     1     1     3
  2.8162307527968411E-01 a         4     0     1     1     4
  2.1247313828626194E-01 a         5     0     1     1     5
  4.1866381671269387E-01 a         6     0     1     1     6
  4.3893405560404991E-01 a         7     0     1     1     7
  6.2191982404383550E-01 a         8     0     1     1     8
  1.2155785042673343E-02 a         9     0     1     1     9
  3.0202423627517722E-01 a        10     0     1     1    10
 -6.1501047039930784E-02 a        11     0     1     1    11
 -2.4481553835665720E-01 a        12     0     1     1    12
  7.8907932015700899E-02 a        13     0     1     1    13
  2.8651350858418306E-01 a        14     0     1     1    14
 -1.1530463873386042E-01 a        15     0     1     1    15
 -1.5555424331616144E-01 a        16     0     1     1    16
  1.8875044229106847E-01 a        17     0     1     1    17
  3.9417647870668870E-01 a        18     0     1     1    18
 -2.0936189240037778E-01 a        19     0     1     1    19
 -6.2550820016875675E-01 a        20     0     1     1    20
  6.6042763208898495E-03 a        21     0     2     1     1
  4.1356411484227480E-02 a        22     0     2     1     2
 -1.1987092293137663E-01 a        23     0     2     1     3
 -3.2510204840799244E-02 a        24     0     2     1     4
 -3.7862443621646230E-02 a        25     0     2     1     5
  2.3276607675068239E-01 a        26     0     2     1     6
  3.3764056065688342E-01 a        27     0     2     1     7
  2.3518025677210813E-01 a        28     0     2     1     8
 -1.5141372243341883E-01 a        29     0     2     1     9
  3.2892402808941323E-03 a        30     0     2     1    10
  2.2771981893283066E-01 a        31     0     2     1    11
  1.6908383012434172E-01 a        32     0     2     1    12
  1.3797199482977218E-01 a        33     0     2     1    13
 -1.4064219739695760E-01 a        34     0     2     1    14
 -1.5869674170403192E-01 a        35     0     2     1    15
