################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4037952980632982E-01 a         1     0     1     1     1
 -4.3504449585219446E-01 a         2     0     1     1     2
  1.1583102297908632E-01 a         3     0     1     1     3
 -4.2329083513761467E-01 a         4     0     1     1     4
 -2.6087553855671292E-01 a         5     0     1     1     5
  1.7046649616566506E-01 a         6     0     1     1     6
 -7.0780803177137669E-02 a         7     0     1     1     7
 -2.0528103085904173E-01 a         8     0     1     1     8
 -3.0277438885245583E-01 a         9     0     1     1     9
  1.1454213720189946E-01 a        10     0     1     1    10
  2.3373586018426973E-01 a        11     0     1     1    11
 -1.4750696315486049E-03 a        12     0     1     1    12
 -1.8916092626175882E-01 a        13     0     1     1    13
 -3.2946116159790428E-01 a        14     0     1     1    14
 -9.5178639311632660E-02 a        15     0     1     1    15
 -4.5997850405148338E-02 a        16     0     1     1    16
 -2.3473058798122556E-01 a        17     0     1     1    17
  1.1225357078712475E-01 a        18     0     1     1    18
  2.3901886088155916E-01 a        19     0     1     1    19
 -1.1376738891515609E-02 a        20     0     1     1    20
 -1.4253963777144002E-01 a        21     0     2     1     1
 -9.5467663610966064E-02 a        22     0     2     1     2
  6.1681514102040645E-03 a        23     0     2     1     3
  1.9512243826871956E-01 a        24     0     2     1     4
 -5.6679342289711510E-01 a        25     0     2     1     5
  1.0982423757032199E-01 a        26     0     2     1     6
  3.1574907135024977E-01 a        27     0     2     1     7
  2.1061355588935896E-01 a        28     0     2     1     8
 -3.6685243108150184E-01 a        29     0     2     1     9
  6.1087428270819484E-03 a        30     0     2     1    10
  2.4491422324839054E-01 a        31     0     2     1    11
  2.5957066666660578E-02 a        32     0     2     1    12
  4.1173234768784067E-02 a        33     0     2     1    13
 -1.1874069688243913E-01 a        34     0     2     1    14
  1.3532696152798376E-01 a        35     0     2     1    15
  2.5761432157308184E-01 a        36     0     2     1    16
 -9.8465989467162132E-02 a        37     0     2     1    17
  3.1370518763344631E-02 a        38     0     2     1    18
  1.4501457090247608E-01 a        39     0     2     1    19
 -1.5954023704251269E-01 a        40     0     2     1    20
 -2.3164671277845156E-01 a        41     0     3     1     1
  3.9137368149485513E-01 a        42     0     3     1     2
 -1.5218786154751660E-01 a        43     0     3     1     3
 -2.1529288470315222E-01 a        44     0     3     1     4
 -1.1716921760026133E-01 a        45     0     3     1     5
 -8.4961968571884816E-02 a        46     0     3     1     6
  6.9491929484720563E-02 a        47     0     3     1     7
  8.0193107883112652E-02 a        48     0     3     1     8
 -5.2928737433076328E-02 a        49     0     3     1     9
  3.8101802368944254E-01 a        50     0     3     1    10
  1.8468208035118405E-01 a        51     0     3     1    11
 -5.7028823563945175E-02 a        52     0     3     1    12
  1.4800895936166117E-01 a        53     0     3     1    13
  2.5098847644558270E-01 a        54     0     3     1    14
 -1.5606928921718974E-01 a        55     0     3     1    15
 -2.8497469509176954E-01 a        56     0     3     1    16
  2.1728300614306109E-01 a        57     0     3     1    17
  1.6688967914031169E-01 a        58     0     3     1    18
 -8.8877132447758828E-02 a        59     0     3     1    19
  1.3182094203881040E-01 a        60     0     3     1    20
