################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.9257886001627476E-01 a       117     0     6     1    17
  1.0861699739317048E-02 a       118     0     6     1    18
  9.9579926329082913E-02 a       119     0     6     1    19
 -2.1953557946961735E-01 a       120     0     6     1    20
  8.6091102318663881E-01 a       121     0     7     1     1
 -2.6298796487179112E-02 a       122     0     7     1     2
 -9.2078549327216985E-02 a       123     0     7     1     3
  2.7861285499191736E-02 a       124     0     7     1     4
 -2.5492050421035706E-01 a       125     0     7     1     5
  1.1620802148572065E+00 a       126     0     7     1     6
  9.4770087741252551E-01 a       127     0     7     1     7
 -2.3276782116945074E-01 a       128     0     7     1     8
 -1.4181948763211535E-01 a       129     0     7     1     9
  1.6305072026552717E-01 a       130     0     7     1    10
 -2.1476466900913990E-01 a       131     0     7     1    11
  5.8549199688855291E-01 a       132     0     7     1    12
  2.5799275206968081E-01 a       133     0     7     1    13
 -1.1272335217860650E+00 a       134     0     7     1    14
  6.0749030712924845E-01 a       135     0     7     1    15
  6.2651439255144914E-01 a       136     0     7     1    16
  4.8102730401094518E-01 a       137     0     7     1    17
 -6.3880004083657085E-02 a       138     0     7     1    18
 -9.6484694121214853E-02 a       139     0     7     1    19
  4.4100570216996837E-01 a       140     0     7     1    20
  5.4482123769174454E-02 a       141     0     8     1     1
 -1.1109737151474920E-01 a       142     0     8     1     2
  3.9816770712975673E-02 a       143     0     8     1     3
 -9.2308793321776300E-02 a       144     0     8     1     4
 -2.3924361462908564E-02 a       145     0     8     1     5
 -2.5531530636528282E-01 a       146     0     8     1     6
 -3.1106157012602786E-01 a       147     0     8     1     7
  3.4304015838743102E-01 a       148     0     8     1     8
  3.7696340047630872E-01 a       149     0     8     1     9
  9.5768204245420731E-03 a       150     0     8     1    10
  3.4792103058871243E-01 a       151     0     8     1    11
 -2.0792132130011678E-01 a       152     0     8     1    12
 -1.9511204095399745E-01 a       153     0     8     1    13
  3.4779365942535279E-01 a       154     0     8     1    14
 -1.4210243984544196E-01 a       155     0     8     1    15
 -4.4008160013185882E-01 a       156     0     8     1    16
 -4.2270512421717582E-01 a       157     0     8     1    17
 -1.5000443473263117E-01 a       158     0     8     1    18
 -2.3889971709935696E-02 a       159     0     8     1    19
 -3.9863366667396836E-02 a       160     0     8     1    20
 -1.6202486492952850E-01 a       161     0     9     1     1
  7.8197530580408584E-02 a       162     0     9     1     2
  1.3149108831366707E+00 a       163     0     9     1     3
  2.2200645319814916E-01 a       164     0     9     1     4
 -4.4131937049841430E-01 a       165     0     9     1     5
  4.4368172812653872E-01 a       166     0     9     1     6
 -2.0785038833747955E+00 a       167     0     9     1     7
 -4.7112442973353658E-01 a       168     0     9     1     8
 -1.7709321263448882E-01 a       169     0     9     1     9
 -8.7460637378125927E-01 a       170     0     9     1    10
 -2.0013947331088619E-01 a       171     0     9     1    11
 -4.2435180501563285E-01 a       172     0     9     1    12
  1.6793567767446241E-01 a       173     0     9     1    13
  7.6569138861210717E-01 a       174     0     9     1    14
 -1.1822201291798180E+00 a       175     0     9     1    15
 -4.1066807297770874E-01 a       176     0     9     1    16
  5.5199244617151433E-01 a       177     0     9     1    17
  1.0030560870206180E-01 a       178     0     9     1    18
 -7.7990009962236106E-01 a       179     0     9     1    19
  1.2965262257011463E+00 a       180     0     9     1    20
 -4.9222764839572758E-01 a       181     0    10     1     1
  5.6300416190237235E-02 a       182     0    10     1     2
 -1.8270000660895962E+00 a       183     0    10     1     3
 -9.6323363555939706E-02 a       184     0    10     1     4
 -4.4438303202254226E-02 a       185     0    10     1     5
 -2.2294167209522273E-01 a       186     0    10     1     6
  2.1429018232698622E+00 a       187     0    10     1     7
  4.0508103738559870E-01 a       188     0    10     1     8
 -6.6942419750184867E-01 a       189     0    10     1     9
  7.2426706458256562E-01 a       190     0    10     1    10
  9.3779827599441857E-03 a       191     0    10     1    11
  1.0380890055407084E-01 a       192     0    10     1    12
 -7.2340816450484302E-01 a       193     0    10     1    13
 -9.0543292263006814E-01 a       194     0    10     1    14
  1.1326359952441667E+00 a       195     0    10     1    15
  2.7557372239188033E-01 a       196     0    10     1    16
  3.2803085976733326E-01 a       197     0    10     1    17
  1.7984493270832674E-01 a       198     0    10     1    18
  6.6444376184391263E-01 a       199     0    10     1    19
 -1.3222872256217186E+00 a       200     0    10     1    20
  6.1689610519313165E-01 a       201     0    11     1     1
 -8.9191188816209810E-01 a       202     0    11     1     2
  1.3773760721748349E+00 a       203     0    11     1     3
 -8.9599796111228827E-02 a       204     0    11     1     4
  7.6901454497823085E-01 a       205     0    11     1     5
 -8.9406938806906144E-02 a       206     0    11     1     6
  9.0674892727913881E-01 a       207     0    11     1     7
  1.1835003653924081E-01 a       208     0    11     1     8
 -6.1749526218851658E-02 a       209     0    11     1     9
  3.7930629904887839E-02 a       210     0    11     1    10
 -1.6406894923455895E-01 a       211     0    11     1    11
  3.1142712125075200E-01 a       212     0    11     1    12
 -2.1145904836230400E-01 a       213     0    11     1    13
  7.4145851446634839E-02 a       214     0    11     1    14
  4.7155795183084398E-01 a       215     0    11     1    15
