################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.6010987070452030E-02 a         1     0     1     1     1
 -4.0148614855782083E-01 a         2     0     1     1     2
  2.6577510147283101E-01 a         3     0     1     1     3
  7.1012855447163889E-02 a         4     0     1     1     4
  5.8750723761618807E-02 a         5     0     1     1     5
 -4.4894713136630232E-01 a         6     0     1     1     6
 -6.0927497659149420E-02 a         7     0     1     1     7
  3.4336115024316732E-01 a         8     0     1     1     8
  2.8488126151430537E-01 a         9     0     1     1     9
 -3.5192358435969678E-01 a        10     0     1     1    10
  4.4283824766161806E-01 a        11     0     1     1    11
 -1.1943806785200757E-01 a        12     0     1     1    12
  1.2226960319005846E-01 a        13     0     1     1    13
  4.4275274701215617E-01 a        14     0     1     1    14
 -3.6280400983700755E-03 a        15     0     1     1    15
  8.6393588557924075E-02 a        16     0     1     1    16
  1.0712607150402219E-01 a        17     0     1     1    17
 -3.1470117252658281E-01 a        18     0     1     1    18
 -7.0856821644305967E-01 a        19     0     1     1    19
  1.2363729187118926E-01 a        20     0     1     1    20
  1.6707196004747449E-01 a        21     0     2     1     1
  1.9350255228061697E-01 a        22     0     2     1     2
 -7.9773674143994687E-03 a        23     0     2     1     3
 -2.4089428486286432E-01 a        24     0     2     1     4
  1.9548306522379624E-01 a        25     0     2     1     5
 -3.9834958022062278E-01 a        26     0     2     1     6
  5.3596560614301958E-02 a        27     0     2     1     7
  6.1913170580766598E-02 a        28     0     2     1     8
  3.6300637481883469E-01 a        29     0     2     1     9
 -2.2004534821846538E-02 a        30     0     2     1    10
 -1.6685053413377010E-01 a        31     0     2     1    11
  1.3866969416945876E-01 a        32     0     2     1    12
  2.3837939189168306E-01 a        33     0     2     1    13
  3.1776462747483997E-01 a        34     0     2     1    14
  2.2980257173462063E-03 a        35     0     2     1    15
 -2.2375322117055918E-01 a        36     0     2     1    16
 -1.3754577916287758E-01 a        37     0     2     1    17
  2.5259356150425216E-01 a        38     0     2     1    18
 -2.5817776757873573E-01 a        39     0     2     1    19
 -1.4676836599031978E-01 a        40     0     2     1    20
 -3.5159480024985590E-02 a        41     0     3     1     1
  3.0596868693390772E-01 a        42     0     3     1     2
  1.4675594196646097E-01 a        43     0     3     1     3
  2.2752465643560471E-01 a        44     0     3     1     4
  6.3760410202982776E-03 a        45     0     3     1     5
 -2.9423791231672880E-02 a        46     0     3     1     6
 -4.7116156992230668E-01 a        47     0     3     1     7
 -2.9753260504414885E-02 a        48     0     3     1     8
  8.7929518224787069E-03 a        49     0     3     1     9
  5.5141397506529077E-01 a        50     0     3     1    10
 -1.1374540543493350E-01 a        51     0     3     1    11
 -4.1301539240049717E-01 a        52     0     3     1    12
 -1.2581823302133952E-01 a        53     0     3     1    13
  2.9186585251071728E-01 a        54     0     3     1    14
 -5.2777093921433238E-01 a        55     0     3     1    15
  3.3937582115270670E-01 a        56     0     3     1    16
  1.8151528655710403E-01 a        57     0     3     1    17
  2.1608188242718648E-01 a        58     0     3     1    18
  6.1923207348182174E-01 a        59     0     3     1    19
  3.0319443734717566E-01 a        60     0     3     1    20
 -2.6250546911946426E-01 a        61     0     4     1     1
  1.1937762098262408E-01 a        62     0     4     1     2
 -8.0158393026322286E-02 a        63     0     4     1     3
 -1.2153481093143356E-01 a        64     0     4     1     4
 -4.2325694076178105E-01 a        65     0     4     1     5
 -1.1350191721003371E-02 a        66     0     4     1     6
 -2.9496283352684316E-01 a        67     0     4     1     7
 -4.5988167599195710E-02 a        68     0     4     1     8
  1.9482523279519634E-01 a        69     0     4     1     9
  2.7240667714088584E-01 a        70     0     4     1    10
 -4.2976850543672451E-02 a        71     0     4     1    11
 -5.0917066132277156E-01 a        72     0     4     1    12
 -1.2242957772911867E-01 a        73     0     4     1    13
 -3.0327990027870505E-01 a        74     0     4     1    14
  5.6346180856268378E-02 a        75     0     4     1    15
  3.9511320336842765E-01 a        76     0     4     1    16
  5.5031202150122596E-02 a        77     0     4     1    17
 -1.7922538711993949E-01 a        78     0     4     1    18
  6.5026443887431939E-01 a        79     0     4     1    19
  1.6625096702866030E-01 a        80     0     4     1    20
 -8.6726975396054992E-02 a        81     0     5     1     1
  4.1377479703938591E-01 a        82     0     5     1     2
 -4.7990002833218311E-02 a        83     0     5     1     3
  3.8160123342925967E-01 a        84     0     5     1     4
 -6.5258005515926243E-01 a        85     0     5     1     5
 -4.7418064008176816E-02 a        86     0     5     1     6
  2.3849676748871873E-01 a        87     0     5     1     7
 -1.0121954616773854E-01 a        88     0     5     1     8
  1.4787231137015824E-01 a        89     0     5     1     9
 -1.0168938750211928E-01 a        90     0     5     1    10
  1.0536353897773208E-01 a        91     0     5     1    11
  3.1647641963284112E-01 a        92     0     5     1    12
  2.7066318628938737E-02 a        93     0     5     1    13
  7.1821616690229628E-02 a        94     0     5     1    14
 -1.8041152648616432E-01 a        95     0     5     1    15
  1.2340876658172228E-01 a        96     0     5     1    16
  1.9075598344522537E-01 a        97     0     5     1    17
 -7.2032896495064407E-03 a        98     0     5     1    18
 -4.1609170309553534E-01 a        99     0     5     1    19
 -1.1238529971220529E-01 a       100     0     5     1    20
 -2.2931818060249864E-02 a       101     0     6     1     1
  2.7694161154508035E-01 a       102     0     6     1     2
 -1.5652123776049884E-01 a       103     0     6     1     3
  7.9181975540396549E-02 a       104     0     6     1     4
 -4.9894790665655775E-01 a       105     0     6     1     5
 -3.7694122693484083E-01 a       106     0     6     1     6
  1.4192565391861850E-01 a       107     0     6     1     7
 -8.8822162332813992E-01 a       108     0     6     1     8
  2.0810551663177293E-01 a       109     0     6     1     9
  9.7737038485270755E-01 a       110     0     6     1    10
  1.5067474003556711E-01 a       111     0     6     1    11
 -2.2100245458219153E-01 a       112     0     6     1    12
 -4.4193944161724187E-03 a       113     0     6     1    13
 -2.1825169002394501E-01 a       114     0     6     1    14
 -1.9065265912512615E-02 a       115     0     6     1    15
 -4.0001909651532880E-01 a       116     0     6     1    16
  3.6775065624049580E-01 a       117     0     6     1    17
  1.0686824798146226E-01 a       118     0     6     1    18
  2.9795541440118084E-01 a       119     0     6     1    19
 -2.6581258601493141E-01 a       120     0     6     1    20
 -3.2026226690025761E-01 a       121     0     7     1     1
 -1.5299829421336571E-02 a       122     0     7     1     2
 -3.6907228714622997E-01 a       123     0     7     1     3
 -2.4869162518188045E-01 a       124     0     7     1     4
  7.9510410440571799E-01 a       125     0     7     1     5
  1.1166940716365832E-01 a       126     0     7     1     6
  3.3235883834494336E-02 a       127     0     7     1     7
  1.1022443778217488E+00 a       128     0     7     1     8
 -1.1607965732151224E-01 a       129     0     7     1     9
 -8.6755891448762279E-01 a       130     0     7     1    10
 -3.5473822955464207E-01 a       131     0     7     1    11
  7.0605312536943854E-01 a       132     0     7     1    12
  3.6959529832102461E-01 a       133     0     7     1    13
  6.7057752238845122E-02 a       134     0     7     1    14
  5.0929090862875392E-01 a       135     0     7     1    15
  2.4313298506538211E-01 a       136     0     7     1    16
  5.0469078506460774E-01 a       137     0     7     1    17
 -1.6959520520690852E-01 a       138     0     7     1    18
 -7.9238676243848311E-02 a       139     0     7     1    19
 -1.0406230480801191E-02 a       140     0     7     1    20
  1.5274428629763256E-01 a       141     0     8     1     1
 -4.0274841180887526E-02 a       142     0     8     1     2
  2.0445937087803082E-01 a       143     0     8     1     3
 -1.6181826473282507E-01 a       144     0     8     1     4
  3.8420881393338263E-01 a       145     0     8     1     5
 -1.1963086180186737E-01 a       146     0     8     1     6
  1.0971515673976137E-01 a       147     0     8     1     7
 -3.5374977664039853E-01 a       148     0     8     1     8
 -2.6265453872941896E-01 a       149     0     8     1     9
  1.7491271099924932E-01 a       150     0     8     1    10
  1.5517095239387366E-01 a       151     0     8     1    11
  3.1297680760237832E-02 a       152     0     8     1    12
  5.8220183781164447E-01 a       153     0     8     1    13
 -4.8448379189578267E-01 a       154     0     8     1    14
 -3.5335765062905522E-01 a       155     0     8     1    15
 -3.0291523068793330E-01 a       156     0     8     1    16
 -2.4367490169702338E-01 a       157     0     8     1    17
  2.3531393894545072E-01 a       158     0     8     1    18
  1.3083787618413134E-01 a       159     0     8     1    19
  1.8556610452763991E-01 a       160     0     8     1    20
  3.0552970662209805E-01 a       161     0     9     1     1
  8.3616527893588061E-02 a       162     0     9     1     2
  9.8474959024025321E-01 a       163     0     9     1     3
 -2.0485995772233195E-01 a       164     0     9     1     4
  7.4387620498587248E-01 a       165     0     9     1     5
 -6.5746290820370951E-02 a       166     0     9     1     6
 -1.4677715802812814E+00 a       167     0     9     1     7
  2.6811508777407506E-01 a       168     0     9     1     8
  5.2329727864891662E-01 a       169     0     9     1     9
  1.8593115753265561E+00 a       170     0     9     1    10
 -2.1897808417847064E-01 a       171     0     9     1    11
  6.9138791549438539E-01 a       172     0     9     1    12
  5.4642804827511271E-01 a       173     0     9     1    13
 -3.1394374684599213E-01 a       174     0     9     1    14
 -7.0973421493993993E-01 a       175     0     9     1    15
  2.9699159431208844E-01 a       176     0     9     1    16
  5.6651097859504085E-01 a       177     0     9     1    17
 -3.0396945339978554E-01 a       178     0     9     1    18
  1.0096883456746688E+00 a       179     0     9     1    19
  2.4583836356217301E-01 a       180     0     9     1    20
  4.8271856001680552E-01 a       181     0    10     1     1
  9.5443948780742804E-02 a       182     0    10     1     2
 -6.7719792639240461E-01 a       183     0    10     1     3
  7.7789000419256027E-01 a       184     0    10     1     4
 -7.0549441293431547E-01 a       185     0    10     1     5
 -8.0723049861611981E-02 a       186     0    10     1     6
  1.8974388108695686E+00 a       187     0    10     1     7
 -9.6656799506669777E-02 a       188     0    10     1     8
 -2.7308248503138505E-01 a       189     0    10     1     9
 -2.0119940604965336E+00 a       190     0    10     1    10
  2.0766807616104113E-01 a       191     0    10     1    11
 -8.9092982100576590E-01 a       192     0    10     1    12
 -8.9860514810695913E-01 a       193     0    10     1    13
  7.5226765919673769E-02 a       194     0    10     1    14
