################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.9131208877154842E-01 a         1     0     1     1     1
  2.3705755845302179E-01 a         2     0     1     1     2
  1.5730689700472114E-01 a         3     0     1     1     3
  1.9870362299761091E-01 a         4     0     1     1     4
 -7.1375509536381637E-02 a         5     0     1     1     5
 -4.8321509809599275E-02 a         6     0     1     1     6
  8.0202338862720348E-03 a         7     0     1     1     7
  1.6372456180803593E-01 a         8     0     1     1     8
 -1.0868241514552197E-01 a         9     0     1     1     9
  1.6044582406760310E-01 a        10     0     1     1    10
  2.0368776489772304E-02 a        11     0     1     1    11
  3.3235160968389649E-01 a        12     0     1     1    12
 -5.2054902422513802E-02 a        13     0     1     1    13
  1.5613097105543614E-01 a        14     0     1     1    14
 -2.2158552213640706E-01 a        15     0     1     1    15
  8.0608578072386208E-02 a        16     0     1     1    16
 -2.1477272982577503E-01 a        17     0     1     1    17
 -6.7529075265611388E-02 a        18     0     1     1    18
 -2.1037533470475861E-01 a        19     0     1     1    19
  3.6601180690245316E-01 a        20     0     1     1    20
 -5.8065597930785154E-02 a        21     0     2     1     1
  1.0745522563705594E-01 a        22     0     2     1     2
 -7.6555962944066747E-02 a        23     0     2     1     3
  1.8822741784936639E-01 a        24     0     2     1     4
 -2.7363802971365603E-01 a        25     0     2     1     5
  1.5286014063416437E-01 a        26     0     2     1     6
  1.1900471447853248E-01 a        27     0     2     1     7
 -2.4270043708182421E-01 a        28     0     2     1     8
  1.9298761291037134E-01 a        29     0     2     1     9
 -8.1570929689246702E-02 a        30     0     2     1    10
 -1.5673478154071507E-01 a        31     0     2     1    11
  1.9311719928397472E-01 a        32     0     2     1    12
 -1.5904489458390683E-01 a        33     0     2     1    13
 -1.9329546216396365E-01 a        34     0     2     1    14
