################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.0716806789809818E-01 a         1     0     1     1     1
  2.8560856603591511E-01 a         2     0     1     1     2
 -5.3943929269477464E-01 a         3     0     1     1     3
  1.7374061500680479E-01 a         4     0     1     1     4
  6.9202483617255772E-01 a         5     0     1     1     5
 -1.7372708102745932E-01 a         6     0     1     1     6
  4.8638920929516681E-02 a         7     0     1     1     7
 -2.6963499685666875E-01 a         8     0     1     1     8
  2.0234016203908534E-01 a         9     0     1     1     9
  3.1324482363071476E-01 a        10     0     1     1    10
  1.1058364202165549E-01 a        11     0     1     1    11
 -1.5174175493816633E-01 a        12     0     1     1    12
 -4.4859283118048854E-01 a        13     0     1     1    13
 -1.8002466149410512E-01 a        14     0     1     1    14
  5.8213537141408034E-01 a        15     0     1     1    15
  2.0412568676258555E-01 a        16     0     1     1    16
  1.6113985923162535E-01 a        17     0     1     1    17
  3.3747601435522179E-01 a        18     0     1     1    18
  5.5734688975292679E-01 a        19     0     1     1    19
  5.6831344977187337E-01 a        20     0     1     1    20
 -4.3261903014655889E-01 a        21     0     2     1     1
 -1.7629429021535906E-01 a        22     0     2     1     2
 -8.8633706937025114E-01 a        23     0     2     1     3
 -1.1845353416486888E-01 a        24     0     2     1     4
  4.5653649070995289E-01 a        25     0     2     1     5
  9.5235028466627444E-02 a        26     0     2     1     6
  7.3817581782597244E-02 a        27     0     2     1     7
  4.1010090671172827E-01 a        28     0     2     1     8
 -2.5531053269352522E-01 a        29     0     2     1     9
 -2.6541732670711055E-01 a        30     0     2     1    10
 -9.6062231913200624E-02 a        31     0     2     1    11
  3.3775314745020973E-01 a        32     0     2     1    12
 -2.1645929779277509E-01 a        33     0     2     1    13
  1.3837862120765351E-01 a        34     0     2     1    14
 -7.4820739645336615E-02 a        35     0     2     1    15
  2.6617068031830754E-01 a        36     0     2     1    16
  3.6369585563733892E-01 a        37     0     2     1    17
 -6.4588027051500248E-03 a        38     0     2     1    18
  3.1565636896963546E-02 a        39     0     2     1    19
  5.1322800954994419E-01 a        40     0     2     1    20
  2.2338901599229097E-01 a        41     0     3     1     1
  1.3737761428193734E-01 a        42     0     3     1     2
 -9.2484534138606630E-03 a        43     0     3     1     3
 -1.1102186934079500E-01 a        44     0     3     1     4
 -5.1796648681585546E-02 a        45     0     3     1     5
  3.0625038565488572E-01 a        46     0     3     1     6
 -5.0912579091050736E-02 a        47     0     3     1     7
  2.5362558084960306E-02 a        48     0     3     1     8
 -3.1166393758733318E-01 a        49     0     3     1     9
 -2.3367690367809898E-01 a        50     0     3     1    10
 -1.1636848512444503E-01 a        51     0     3     1    11
 -5.4643076754465406E-02 a        52     0     3     1    12
  2.7719588881426876E-01 a        53     0     3     1    13
 -2.6447481948781582E-01 a        54     0     3     1    14
 -2.3410508659112708E-01 a        55     0     3     1    15
  3.1044532859780022E-01 a        56     0     3     1    16
 -2.1943972799248729E-01 a        57     0     3     1    17
  1.4792156921908786E-01 a        58     0     3     1    18
  8.3175217180422645E-02 a        59     0     3     1    19
 -2.5788844961380003E-01 a        60     0     3     1    20
  2.0448474862401217E-01 a        61     0     4     1     1
  3.5979853080389160E-02 a        62     0     4     1     2
  1.2873389861337173E-01 a        63     0     4     1     3
  2.0248320069686657E-01 a        64     0     4     1     4
 -4.4675023701751204E-01 a        65     0     4     1     5
  1.6408182434188173E-01 a        66     0     4     1     6
 -2.1906790134403495E-01 a        67     0     4     1     7
  1.0201951290170494E-01 a        68     0     4     1     8
 -2.4607597154746980E-01 a        69     0     4     1     9
 -5.7539163919597403E-02 a        70     0     4     1    10
 -5.8503907388187275E-02 a        71     0     4     1    11
  1.4673006371319980E-01 a        72     0     4     1    12
  5.2266102973134898E-01 a        73     0     4     1    13
  8.9195056424484553E-02 a        74     0     4     1    14
 -9.1024706217242041E-02 a        75     0     4     1    15
 -1.2469627134833955E-01 a        76     0     4     1    16
  3.6457758032112472E-02 a        77     0     4     1    17
  1.3064029156627380E-01 a        78     0     4     1    18
  4.9998196582472676E-02 a        79     0     4     1    19
 -3.9883973401686384E-01 a        80     0     4     1    20
  8.3186371843276441E-01 a        81     0     5     1     1
  2.1505774711843592E-01 a        82     0     5     1     2
  6.6857826156242317E-01 a        83     0     5     1     3
  1.9361203840907157E-01 a        84     0     5     1     4
 -2.9497125424016662E-01 a        85     0     5     1     5
 -4.8995030437049658E-01 a        86     0     5     1     6
 -3.2596914020340739E-01 a        87     0     5     1     7
  1.0801205813425482E-01 a        88     0     5     1     8
  1.2064389064000772E-02 a        89     0     5     1     9
  1.4812491140505055E-01 a        90     0     5     1    10
  1.8019867424517454E-02 a        91     0     5     1    11
 -1.5857437527232596E-01 a        92     0     5     1    12
  4.2928274315022663E-01 a        93     0     5     1    13
 -4.8129567516462735E-01 a        94     0     5     1    14
  4.3971532068578838E-02 a        95     0     5     1    15
 -1.4809377981694459E-02 a        96     0     5     1    16
  3.3417154988280684E-01 a        97     0     5     1    17
 -4.7858911642025725E-01 a        98     0     5     1    18
  4.2475041069519701E-02 a        99     0     5     1    19
 -2.6460648539647297E-01 a       100     0     5     1    20
  8.1667013973485447E-01 a       101     0     6     1     1
  2.8570539564199193E-01 a       102     0     6     1     2
  7.4102215265982729E-01 a       103     0     6     1     3
 -1.1828737297805410E-01 a       104     0     6     1     4
 -7.2559772398150491E-01 a       105     0     6     1     5
 -1.7435905354271214E-01 a       106     0     6     1     6
 -2.0269590980041989E-02 a       107     0     6     1     7
 -8.0814897463970234E-02 a       108     0     6     1     8
  3.6833415293171567E-01 a       109     0     6     1     9
 -8.8975800503213631E-02 a       110     0     6     1    10
  1.0494797257161828E-01 a       111     0     6     1    11
 -3.9805494224030097E-02 a       112     0     6     1    12
  2.2493942171490239E-01 a       113     0     6     1    13
 -6.7510927498235729E-01 a       114     0     6     1    14
  1.6409130193045224E-01 a       115     0     6     1    15
  7.0702423524659575E-04 a       116     0     6     1    16
  5.4644922922848571E-01 a       117     0     6     1    17
 -2.6979429367454805E-01 a       118     0     6     1    18
 -3.5481314535703457E-01 a       119     0     6     1    19
 -3.4543841843688500E-01 a       120     0     6     1    20
 -1.3411374551008211E+00 a       121     0     7     1     1
 -3.2617158378258926E-01 a       122     0     7     1     2
  1.2413010547921379E-02 a       123     0     7     1     3
 -2.6101467318986288E-01 a       124     0     7     1     4
  8.3430088352866660E-01 a       125     0     7     1     5
 -1.2124776836092033E-01 a       126     0     7     1     6
 -2.5187851636078423E-01 a       127     0     7     1     7
  2.9084348593454634E-01 a       128     0     7     1     8
 -5.4549317572619160E-01 a       129     0     7     1     9
 -2.3704514384857317E-01 a       130     0     7     1    10
 -2.2949506784640494E-01 a       131     0     7     1    11
 -7.3681837319213614E-02 a       132     0     7     1    12
 -1.4323015138767853E-01 a       133     0     7     1    13
  2.1672253863879853E-01 a       134     0     7     1    14
 -5.3734397413007950E-01 a       135     0     7     1    15
  2.7500480328137028E-01 a       136     0     7     1    16
 -5.8820256252177994E-01 a       137     0     7     1    17
 -3.6841917805650909E-01 a       138     0     7     1    18
  7.9644013662420343E-01 a       139     0     7     1    19
  4.0463768998401672E-01 a       140     0     7     1    20
 -6.9300180384135792E-03 a       141     0     8     1     1
  2.2591249814097963E-01 a       142     0     8     1     2
 -4.7405364852943699E-01 a       143     0     8     1     3
 -2.2137341614991327E-01 a       144     0     8     1     4
 -1.8236684749003571E-01 a       145     0     8     1     5
  6.6440636166329396E-03 a       146     0     8     1     6
  6.6123821458473592E-02 a       147     0     8     1     7
 -1.3671964216734611E-01 a       148     0     8     1     8
 -1.7126469509091924E-01 a       149     0     8     1     9
  2.0215425171233156E-01 a       150     0     8     1    10
  1.1965372623652742E-01 a       151     0     8     1    11
  1.4179607160112098E-01 a       152     0     8     1    12
 -4.0653169254187937E-02 a       153     0     8     1    13
  9.1214453449932564E-02 a       154     0     8     1    14
  1.8090728671900333E-01 a       155     0     8     1    15
  2.0294537459715442E-01 a       156     0     8     1    16
  1.7477215469757224E-01 a       157     0     8     1    17
  5.3029116166813706E-01 a       158     0     8     1    18
 -2.6667158637613148E-01 a       159     0     8     1    19
  2.6962457948500624E-02 a       160     0     8     1    20
  4.4910347039132270E-01 a       161     0     9     1     1
 -3.2690859339405083E-02 a       162     0     9     1     2
 -1.8875269103914931E+00 a       163     0     9     1     3
  5.5765927064747822E-01 a       164     0     9     1     4
 -1.9946938968044575E-01 a       165     0     9     1     5
  6.4427171623762311E-02 a       166     0     9     1     6
 -6.7544363659631756E-01 a       167     0     9     1     7
 -4.1276789246435783E-02 a       168     0     9     1     8
 -7.2056972779542494E-01 a       169     0     9     1     9
 -9.1514877315523935E-01 a       170     0     9     1    10
  7.1350967917516606E-02 a       171     0     9     1    11
  2.8385043609385173E-02 a       172     0     9     1    12
  9.5291981984919050E-01 a       173     0     9     1    13
 -5.7095543042778296E-01 a       174     0     9     1    14
 -6.4648570921740911E-01 a       175     0     9     1    15
  2.2677280930221463E-01 a       176     0     9     1    16
  2.3183848576002948E+00 a       177     0     9     1    17
 -2.8958613976406822E-01 a       178     0     9     1    18
  1.3748769984310383E-01 a       179     0     9     1    19
 -4.8415877804327606E-01 a       180     0     9     1    20
 -7.7775136189227123E-03 a       181     0    10     1     1
  3.2677828443608122E-02 a       182     0    10     1     2
  2.2684538165908377E+00 a       183     0    10     1     3
 -1.2791729892638260E-02 a       184     0    10     1     4
  6.0769069903583363E-02 a       185     0    10     1     5
  5.0232049513319513E-02 a       186     0    10     1     6
  3.2011557882288388E-01 a       187     0    10     1     7
 -4.1044468579615961E-01 a       188     0    10     1     8
  4.9553691159245788E-01 a       189     0    10     1     9
  6.8397192675866192E-01 a       190     0    10     1    10
 -5.9438067096338920E-01 a       191     0    10     1    11
  7.5803932953460262E-01 a       192     0    10     1    12
 -9.8037792319660044E-01 a       193     0    10     1    13
  2.5741381110211192E-01 a       194     0    10     1    14
  1.0399520241243017E+00 a       195     0    10     1    15
 -4.9756208276695102E-01 a       196     0    10     1    16
 -2.3007199507741127E+00 a       197     0    10     1    17
 -2.4710825318833559E-02 a       198     0    10     1    18
  2.0868171750547931E-01 a       199     0    10     1    19
  9.1270479215677186E-02 a       200     0    10     1    20
 -3.6450920262872882E-01 a       201     0    11     1     1
  1.1824290773116211E-01 a       202     0    11     1     2
 -1.1062224482220262E+00 a       203     0    11     1     3
  5.5249629174739967E-01 a       204     0    11     1     4
 -2.8954935248614294E-01 a       205     0    11     1     5
  9.0171264380090133E-01 a       206     0    11     1     6
 -5.3506863489553858E-01 a       207     0    11     1     7
  4.1334364092333781E-01 a       208     0    11     1     8
  6.7528362660314456E-01 a       209     0    11     1     9
 -2.1962868905310984E-01 a       210     0    11     1    10
  5.2931913597033631E-01 a       211     0    11     1    11
 -1.8796021487390610E-01 a       212     0    11     1    12
 -2.1805579868730349E-01 a       213     0    11     1    13
  5.1208613679772919E-01 a       214     0    11     1    14
 -2.0490747707671311E-01 a       215     0    11     1    15
  8.6663234752699936E-01 a       216     0    11     1    16
 -8.5330416356496619E-01 a       217     0    11     1    17
 -2.5122286979339731E-01 a       218     0    11     1    18
 -4.9851147751644106E-02 a       219     0    11     1    19
  4.7446052067556421E-01 a       220     0    11     1    20
 -2.7682314485286208E-01 a       221     0    12     1     1
 -3.0920842362954831E-01 a       222     0    12     1     2
 -1.5498803818152904E-01 a       223     0    12     1     3
 -8.7467055356653878E-01 a       224     0    12     1     4
  3.8090322057461540E-01 a       225     0    12     1     5
 -1.5820414906197495E+00 a       226     0    12     1     6
  7.3522267565630750E-01 a       227     0    12     1     7
  2.3191203255737078E-01 a       228     0    12     1     8
 -1.1590247245734460E-01 a       229     0    12     1     9
  3.7001859905174711E-01 a       230     0    12     1    10
  6.1715294184253611E-01 a       231     0    12     1    11
 -6.8660530330120761E-01 a       232     0    12     1    12
  8.0105919262841863E-01 a       233     0    12     1    13
  3.3102262258262106E-02 a       234     0    12     1    14
 -2.0696032105143497E-01 a       235     0    12     1    15
 -7.2834522142180405E-02 a       236     0    12     1    16
  6.9679718687168368E-01 a       237     0    12     1    17
 -3.5789807043405959E-02 a       238     0    12     1    18
  1.4291648814616620E-01 a       239     0    12     1    19
 -2.2108217079821471E-01 a       240     0    12     1    20
  3.3600912213020445E-02 a       241     0    13     1     1
  3.1070092127491472E-01 a       242     0    13     1     2
 -7.3598306827690163E-01 a       243     0    13     1     3
 -7.5805792117101534E-03 a       244     0    13     1     4
 -5.7069795335690499E-01 a       245     0    13     1     5
  3.5254656608273843E-01 a       246     0    13     1     6
 -8.9597888956826285E-02 a       247     0    13     1     7
 -3.8684957927245317E-01 a       248     0    13     1     8
  3.0735588085284954E-01 a       249     0    13     1     9
  3.7361651957351838E-01 a       250     0    13     1    10
  5.6076954217224606E-01 a       251     0    13     1    11
  5.8105166823345045E-01 a       252     0    13     1    12
 -1.8228935749679828E-01 a       253     0    13     1    13
  4.2083983074763942E-01 a       254     0    13     1    14
  1.2027656015141805E-01 a       255     0    13     1    15
  3.1791216960497354E-01 a       256     0    13     1    16
 -3.4955723230849528E-02 a       257     0    13     1    17
 -4.7290103210246631E-01 a       258     0    13     1    18
 -9.3020210384764448E-02 a       259     0    13     1    19
  1.3898811724121393E-01 a       260     0    13     1    20
  3.0012824889216599E-01 a       261     0    14     1     1
  5.9037094871671275E-02 a       262     0    14     1     2
 -3.4858293810246788E-01 a       263     0    14     1     3
 -2.5618626321438676E-01 a       264     0    14     1     4
  5.4262422602321954E-02 a       265     0    14     1     5
  5.3354277281945650E-01 a       266     0    14     1     6
 -2.0603951625304492E-01 a       267     0    14     1     7
  6.6045964302959603E-01 a       268     0    14     1     8
 -5.9653804643476482E-01 a       269     0    14     1     9
  1.2897323363155183E-01 a       270     0    14     1    10
 -2.1450895197409772E-01 a       271     0    14     1    11
 -3.5942543249267572E-01 a       272     0    14     1    12
 -1.7297487118591195E-01 a       273     0    14     1    13
 -5.0130810862624123E-02 a       274     0    14     1    14
 -2.5666809470234198E-01 a       275     0    14     1    15
 -1.4134170731431098E-01 a       276     0    14     1    16
  3.8579822571952294E-01 a       277     0    14     1    17
  4.5608261017666191E-01 a       278     0    14     1    18
  7.4244911694642896E-02 a       279     0    14     1    19
 -1.1067021704355152E-01 a       280     0    14     1    20
 -4.7990600276826256E-01 a       281     0    15     1     1
  4.9820783107669527E-02 a       282     0    15     1     2
 -3.7736363614511638E-02 a       283     0    15     1     3
  1.2263624515282225E-01 a       284     0    15     1     4
  1.6422069366306122E-02 a       285     0    15     1     5
  2.3317092947458451E-01 a       286     0    15     1     6
 -2.3583679600095131E-01 a       287     0    15     1     7
 -2.2735011478477429E-01 a       288     0    15     1     8
 -9.6445159645413989E-02 a       289     0    15     1     9
  1.3102219019926328E-01 a       290     0    15     1    10
  4.1140101290147141E-01 a       291     0    15     1    11
 -2.4980268552194368E-01 a       292     0    15     1    12
  3.0835027070980375E-01 a       293     0    15     1    13
  1.9168989272058568E-01 a       294     0    15     1    14
 -2.0117633100439256E-01 a       295     0    15     1    15
  3.7400271970864607E-01 a       296     0    15     1    16
 -2.9337733087571516E-01 a       297     0    15     1    17
  1.7713335410749947E-01 a       298     0    15     1    18
 -4.4887207656450434E-01 a       299     0    15     1    19
 -2.7802900676091002E-01 a       300     0    15     1    20
  1.8257976479575347E-01 a       301     0    16     1     1
 -1.5200150334848891E-02 a       302     0    16     1     2
 -3.4307133177583277E-01 a       303     0    16     1     3
  4.1931482494396327E-01 a       304     0    16     1     4
 -5.3616228190972337E-01 a       305     0    16     1     5
  1.1448762689326912E-01 a       306     0    16     1     6
 -7.6473384132714192E-02 a       307     0    16     1     7
 -3.3636383900670552E-01 a       308     0    16     1     8
  1.0642653875856645E-01 a       309     0    16     1     9
  1.8360933594464535E-01 a       310     0    16     1    10
 -7.3792966859959119E-02 a       311     0    16     1    11
  3.9202147830639011E-01 a       312     0    16     1    12
