################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.1435617435349089E-01 a         1     0     1     1     1
 -1.3850562824477597E-01 a         2     0     1     1     2
  8.3386503035380699E-02 a         3     0     1     1     3
 -1.6707647528967717E-01 a         4     0     1     1     4
 -5.1301301515896116E-03 a         5     0     1     1     5
  1.0756812535971542E-01 a         6     0     1     1     6
 -3.4986209772793220E-01 a         7     0     1     1     7
 -3.7553960949646953E-01 a         8     0     1     1     8
 -1.2771545071872553E-01 a         9     0     1     1     9
 -3.4406671446041165E-01 a        10     0     1     1    10
 -1.7472001548517771E-01 a        11     0     1     1    11
 -2.2726096050533179E-01 a        12     0     1     1    12
  2.0128758873419614E-01 a        13     0     1     1    13
 -2.5664743617745794E-01 a        14     0     1     1    14
 -9.1187433843458732E-02 a        15     0     1     1    15
 -4.6297252569781122E-01 a        16     0     1     1    16
  2.5485681526211379E-01 a        17     0     1     1    17
  1.6199126773452560E-01 a        18     0     1     1    18
 -3.4774865716733055E-01 a        19     0     1     1    19
 -5.6644733237170775E-01 a        20     0     1     1    20
  4.2825049160852502E-01 a        21     0     2     1     1
 -1.4416140263036265E-01 a        22     0     2     1     2
 -2.3482819567399413E-01 a        23     0     2     1     3
  9.4251372825316898E-02 a        24     0     2     1     4
 -1.1217345060075939E-01 a        25     0     2     1     5
  3.1040891555860051E-01 a        26     0     2     1     6
  1.0411834269722468E-01 a        27     0     2     1     7
 -4.9194916623713857E-02 a        28     0     2     1     8
  1.4709517223869223E-01 a        29     0     2     1     9
 -1.7680209511418932E-01 a        30     0     2     1    10
  2.3674830805119833E-02 a        31     0     2     1    11
  7.9900554361598472E-02 a        32     0     2     1    12
  3.4362922498188192E-01 a        33     0     2     1    13
 -2.0251723270368788E-01 a        34     0     2     1    14
 -5.0751774800027209E-03 a        35     0     2     1    15
 -4.0515709313127385E-01 a        36     0     2     1    16
  2.8592706266907841E-01 a        37     0     2     1    17
  9.3376453261166739E-02 a        38     0     2     1    18
  1.6565507510435137E-01 a        39     0     2     1    19
 -1.3484724225400330E-03 a        40     0     2     1    20
  1.3614899527880292E-01 a        41     0     3     1     1
  3.1020640721949910E-01 a        42     0     3     1     2
 -1.5561549797209809E-01 a        43     0     3     1     3
  3.9382387271804525E-01 a        44     0     3     1     4
  3.1678259403155695E-01 a        45     0     3     1     5
 -3.6501570995256455E-01 a        46     0     3     1     6
  4.0943109570937802E-02 a        47     0     3     1     7
  3.8355812301338266E-01 a        48     0     3     1     8
  5.1505973767126456E-01 a        49     0     3     1     9
 -1.8983227987736404E-01 a        50     0     3     1    10
  3.6067481477109781E-01 a        51     0     3     1    11
  1.7614162400696395E-02 a        52     0     3     1    12
  3.8308480391642863E-02 a        53     0     3     1    13
  2.4609488331617491E-01 a        54     0     3     1    14
 -4.1442895326370877E-01 a        55     0     3     1    15
 -2.0282350245966368E-01 a        56     0     3     1    16
 -2.0525134425122243E-01 a        57     0     3     1    17
 -1.8685573943195025E-01 a        58     0     3     1    18
 -3.5273591755674322E-01 a        59     0     3     1    19
  5.1533539829776398E-01 a        60     0     3     1    20
 -1.1893716468748472E-01 a        61     0     4     1     1
  2.2034524135848838E-01 a        62     0     4     1     2
  1.2267275201134052E-01 a        63     0     4     1     3
 -1.3194242810832005E-01 a        64     0     4     1     4
  8.4078190037796305E-02 a        65     0     4     1     5
 -1.4135931164850837E-01 a        66     0     4     1     6
  2.2368565992306977E-01 a        67     0     4     1     7
  4.2105352407529445E-01 a        68     0     4     1     8
 -2.4128756480430477E-01 a        69     0     4     1     9
 -7.7892074272221765E-02 a        70     0     4     1    10
 -5.5950956318921788E-02 a        71     0     4     1    11
  1.1153871025049149E-01 a        72     0     4     1    12
 -3.7549179627817225E-01 a        73     0     4     1    13
  2.8233691823206841E-01 a        74     0     4     1    14
 -9.0787239288574149E-03 a        75     0     4     1    15
 -1.4758988774697274E-01 a        76     0     4     1    16
 -1.5966449083013848E-01 a        77     0     4     1    17
  9.4025401446716644E-02 a        78     0     4     1    18
  1.8762907134786427E-01 a        79     0     4     1    19
  3.9561307401707613E-01 a        80     0     4     1    20
 -1.2829285057367604E-01 a        81     0     5     1     1
 -3.8156630068313817E-02 a        82     0     5     1     2
  4.9210457669855884E-01 a        83     0     5     1     3
  1.0685043642025065E-01 a        84     0     5     1     4
 -3.5154347294734001E-01 a        85     0     5     1     5
 -1.3840667889374872E-01 a        86     0     5     1     6
 -3.5696972048352393E-01 a        87     0     5     1     7
  8.6798434837369029E-02 a        88     0     5     1     8
 -2.5163815406596729E-01 a        89     0     5     1     9
 -2.9774621645016897E-01 a        90     0     5     1    10
 -1.1384865487704968E-01 a        91     0     5     1    11
 -2.6306874801518110E-01 a        92     0     5     1    12
  3.5583913183915983E-01 a        93     0     5     1    13
 -5.0764631669864080E-01 a        94     0     5     1    14
 -2.1362825023813195E-01 a        95     0     5     1    15
  2.1232502087105229E-01 a        96     0     5     1    16
 -6.0372225035161264E-02 a        97     0     5     1    17
  6.7722622353134435E-02 a        98     0     5     1    18
  4.1185625952914978E-01 a        99     0     5     1    19
 -5.2221639515300911E-01 a       100     0     5     1    20
 -5.9412733902810499E-01 a       101     0     6     1     1
  4.6037123415084848E-02 a       102     0     6     1     2
  6.8007764914786117E-01 a       103     0     6     1     3
 -3.0626235397864559E-02 a       104     0     6     1     4
  2.2582428158820056E-01 a       105     0     6     1     5
 -5.1647122601115192E-01 a       106     0     6     1     6
 -3.5651753520948615E-01 a       107     0     6     1     7
  5.2720720994435033E-01 a       108     0     6     1     8
  1.4179273016610155E-02 a       109     0     6     1     9
  1.7067869546950310E-03 a       110     0     6     1    10
  2.3585121700959405E-01 a       111     0     6     1    11
 -3.6824980394836465E-01 a       112     0     6     1    12
  7.2541860288004523E-02 a       113     0     6     1    13
  5.6186382837167359E-01 a       114     0     6     1    14
 -2.1165987284140465E-02 a       115     0     6     1    15
  4.4360116220445084E-02 a       116     0     6     1    16
 -1.5205917866105909E-01 a       117     0     6     1    17
 -2.1502219176897053E-01 a       118     0     6     1    18
  3.0422175192605649E-01 a       119     0     6     1    19
 -1.5134462292350659E-01 a       120     0     6     1    20
  6.9410906702491626E-01 a       121     0     7     1     1
 -4.3220738377314954E-01 a       122     0     7     1     2
  3.5895448098396188E-01 a       123     0     7     1     3
 -5.3777645620476311E-01 a       124     0     7     1     4
 -3.3313777905942904E-01 a       125     0     7     1     5
  2.9522418477024126E-01 a       126     0     7     1     6
  2.7586998571614613E-01 a       127     0     7     1     7
 -1.8412589006009662E-02 a       128     0     7     1     8
 -7.0604662359637493E-01 a       129     0     7     1     9
  2.7948613715513465E-01 a       130     0     7     1    10
 -2.5427290249746293E-01 a       131     0     7     1    11
 -3.3235397632162439E-01 a       132     0     7     1    12
 -8.6857175071015577E-03 a       133     0     7     1    13
 -5.9282460689914018E-01 a       134     0     7     1    14
  4.1456935412469365E-01 a       135     0     7     1    15
  4.9888942225356364E-01 a       136     0     7     1    16
  2.1539464123542695E-01 a       137     0     7     1    17
  3.3952953978773204E-01 a       138     0     7     1    18
 -1.5178686947694067E-01 a       139     0     7     1    19
  1.1776742990558471E-01 a       140     0     7     1    20
 -3.2927503842864597E-01 a       141     0     8     1     1
  3.8448599872321598E-01 a       142     0     8     1     2
 -8.0912633508024734E-01 a       143     0     8     1     3
  1.9993528737543237E-01 a       144     0     8     1     4
  7.8957351101640028E-01 a       145     0     8     1     5
  2.1769990750556523E-01 a       146     0     8     1     6
 -1.8992932190169123E-01 a       147     0     8     1     7
  3.6595492407932484E-01 a       148     0     8     1     8
  6.4533664830767645E-01 a       149     0     8     1     9
 -1.5133057755471205E-01 a       150     0     8     1    10
  5.9602166059373651E-01 a       151     0     8     1    11
  1.2902197648083241E-01 a       152     0     8     1    12
  1.7084254407092832E-02 a       153     0     8     1    13
  1.6212985345658151E-01 a       154     0     8     1    14
 -2.0339607955981578E-01 a       155     0     8     1    15
 -1.3055668914984131E-01 a       156     0     8     1    16
  5.7369151062385146E-02 a       157     0     8     1    17
 -2.7362327237323611E-02 a       158     0     8     1    18
 -2.8400456049833458E-02 a       159     0     8     1    19
 -8.0197524722589578E-02 a       160     0     8     1    20
 -3.8933288154431250E-01 a       161     0     9     1     1
  5.2247120851715334E-01 a       162     0     9     1     2
 -1.7545484952566481E-01 a       163     0     9     1     3
  2.3399084756779501E-01 a       164     0     9     1     4
  3.0166085622176536E-01 a       165     0     9     1     5
  2.3404540135533114E-01 a       166     0     9     1     6
  2.6008415809358071E-01 a       167     0     9     1     7
 -2.7116901460711934E-01 a       168     0     9     1     8
 -2.3345846222472302E-01 a       169     0     9     1     9
  9.2629330720987904E-02 a       170     0     9     1    10
  1.8354110945756702E-01 a       171     0     9     1    11
  1.8743337246803515E-01 a       172     0     9     1    12
  1.2859602533221542E-01 a       173     0     9     1    13
  3.9607525779973944E-02 a       174     0     9     1    14
 -2.9803583743272927E-01 a       175     0     9     1    15
  4.2323986730478158E-01 a       176     0     9     1    16
 -4.5629937557218730E-01 a       177     0     9     1    17
  1.5976643082079800E-02 a       178     0     9     1    18
 -2.4390437757060762E-01 a       179     0     9     1    19
 -3.0222015198814867E-01 a       180     0     9     1    20
  3.1426664235729695E-01 a       181     0    10     1     1
  5.1100993013356300E-01 a       182     0    10     1     2
  9.6184561382246792E-02 a       183     0    10     1     3
  4.2703132428528370E-02 a       184     0    10     1     4
 -1.1468089142742549E-01 a       185     0    10     1     5
  4.4891146785486016E-02 a       186     0    10     1     6
  3.9851569379112634E-01 a       187     0    10     1     7
 -1.0886643747300705E-01 a       188     0    10     1     8
 -3.5305681714201492E-01 a       189     0    10     1     9
 -1.0198466415669102E-01 a       190     0    10     1    10
  1.0666021664280934E-01 a       191     0    10     1    11
 -1.9907602941932775E-02 a       192     0    10     1    12
 -8.8846680015537555E-02 a       193     0    10     1    13
 -1.1908121965248852E-01 a       194     0    10     1    14
 -2.9672676562275280E-01 a       195     0    10     1    15
  3.0851565210527515E-01 a       196     0    10     1    16
 -1.3302914359590587E-01 a       197     0    10     1    17
 -4.6832975556733526E-02 a       198     0    10     1    18
 -1.0336411815653310E-01 a       199     0    10     1    19
  2.3757660413985976E-01 a       200     0    10     1    20
 -2.8857573087795746E-01 a       201     0    11     1     1
 -2.0299868287142067E-01 a       202     0    11     1     2
 -9.7974343607975471E-03 a       203     0    11     1     3
 -5.0667980328160545E-01 a       204     0    11     1     4
  4.5431530730552783E-02 a       205     0    11     1     5
 -2.1381483333797291E-01 a       206     0    11     1     6
