################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3070631718946083E-01 a         1     0     1     1     1
 -2.4902381635199095E-01 a         2     0     1     1     2
 -9.2469021525622780E-02 a         3     0     1     1     3
 -2.6918002289987525E-01 a         4     0     1     1     4
 -1.9464743205515436E-01 a         5     0     1     1     5
 -5.1751646946602864E-02 a         6     0     1     1     6
  2.4792821433611029E-01 a         7     0     1     1     7
 -2.0073854406426797E-01 a         8     0     1     1     8
 -3.3871662229526861E-01 a         9     0     1     1     9
 -2.2918664289875476E-01 a        10     0     1     1    10
  2.0005221905641574E-01 a        11     0     1     1    11
  1.7563440171041120E-01 a        12     0     1     1    12
  6.2800719598769239E-01 a        13     0     1     1    13
 -4.2280453835439774E-01 a        14     0     1     1    14
  2.5853880713496824E-01 a        15     0     1     1    15
 -9.1878623646908353E-02 a        16     0     1     1    16
  2.7914699948863986E-01 a        17     0     1     1    17
  6.7539913024286330E-02 a        18     0     1     1    18
 -1.1275428890440763E-01 a        19     0     1     1    19
  1.0419941286560243E-01 a        20     0     1     1    20
 -1.6261372173809141E-01 a        21     0     2     1     1
  1.2905673310867125E-01 a        22     0     2     1     2
 -2.7242180099307384E-01 a        23     0     2     1     3
 -4.6035260507854413E-02 a        24     0     2     1     4
  1.0697381220525086E-01 a        25     0     2     1     5
  9.1995671374750676E-02 a        26     0     2     1     6
 -1.5059065272360023E-01 a        27     0     2     1     7
 -4.0371071159670219E-01 a        28     0     2     1     8
 -7.8038801228992913E-02 a        29     0     2     1     9
  2.1629748719816030E-01 a        30     0     2     1    10
 -2.8413456786003771E-01 a        31     0     2     1    11
 -3.7105871563213411E-01 a        32     0     2     1    12
 -1.7322256745793965E-01 a        33     0     2     1    13
  2.4636954378806178E-01 a        34     0     2     1    14
  3.4366364813916095E-01 a        35     0     2     1    15
 -4.3040765051819413E-01 a        36     0     2     1    16
 -1.6165885093676880E-02 a        37     0     2     1    17
  1.0093179252142963E-03 a        38     0     2     1    18
  7.5299063640513558E-02 a        39     0     2     1    19
  1.2015095032870571E-01 a        40     0     2     1    20
