################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6756295842066751E-01 a         1     0     1     1     1
  3.1844104077551405E-01 a         2     0     1     1     2
 -3.6777988157276770E-01 a         3     0     1     1     3
  2.7450630077106297E-01 a         4     0     1     1     4
 -1.8347717565314603E-01 a         5     0     1     1     5
 -1.8291178434922709E-01 a         6     0     1     1     6
  2.9793943510535492E-02 a         7     0     1     1     7
  8.5148869551759127E-02 a         8     0     1     1     8
  4.9916830972227898E-02 a         9     0     1     1     9
 -1.2715293652722431E-01 a        10     0     1     1    10
 -1.1170104626324774E-01 a        11     0     1     1    11
  7.0344904431752264E-01 a        12     0     1     1    12
 -1.7219278872304375E-01 a        13     0     1     1    13
 -6.5559361487867368E-02 a        14     0     1     1    14
  3.0099543377034056E-03 a        15     0     1     1    15
  2.2172243825777549E-01 a        16     0     1     1    16
  3.6333423956665001E-02 a        17     0     1     1    17
 -2.0046783469868729E-01 a        18     0     1     1    18
  1.4311769648349185E-01 a        19     0     1     1    19
  1.1379881043348575E-01 a        20     0     1     1    20
 -1.9000704328683346E-01 a        21     0     2     1     1
  4.5409277989488667E-01 a        22     0     2     1     2
  3.2008639903456726E-01 a        23     0     2     1     3
 -1.6672918651545696E-01 a        24     0     2     1     4
 -2.8122096043690098E-01 a        25     0     2     1     5
  1.0952307487092183E-01 a        26     0     2     1     6
  9.0299320762338417E-02 a        27     0     2     1     7
  2.2179957860024219E-02 a        28     0     2     1     8
  5.6749022120893056E-02 a        29     0     2     1     9
  1.7170096259898684E-01 a        30     0     2     1    10
  1.0910741887077610E-01 a        31     0     2     1    11
 -6.3136017998342120E-02 a        32     0     2     1    12
 -2.6328266169165115E-01 a        33     0     2     1    13
  3.9932851469558966E-01 a        34     0     2     1    14
  2.3637194891742857E-02 a        35     0     2     1    15
 -9.1570794354734308E-02 a        36     0     2     1    16
  2.8601655359914580E-01 a        37     0     2     1    17
  1.2721416523747953E-01 a        38     0     2     1    18
  3.2944310591473916E-02 a        39     0     2     1    19
  1.4408904257143343E-01 a        40     0     2     1    20
  9.2848688259565659E-02 a        41     0     3     1     1
 -2.9156984681897685E-01 a        42     0     3     1     2
  3.6744889919846946E-01 a        43     0     3     1     3
  2.4955240388654568E-01 a        44     0     3     1     4
 -1.6360963132920861E-02 a        45     0     3     1     5
  4.2537150239651184E-02 a        46     0     3     1     6
 -5.1708966053255434E-01 a        47     0     3     1     7
  2.3176989498286980E-02 a        48     0     3     1     8
  2.9499218662447668E-01 a        49     0     3     1     9
 -1.7882052938415280E-01 a        50     0     3     1    10
  9.6985092685199892E-02 a        51     0     3     1    11
 -2.4465412590045540E-01 a        52     0     3     1    12
 -1.9693528165202029E-01 a        53     0     3     1    13
 -1.9243846047500071E-01 a        54     0     3     1    14
  1.3938306592296748E-01 a        55     0     3     1    15
  2.1538419305535256E-01 a        56     0     3     1    16
  1.9373349727718978E-01 a        57     0     3     1    17
  2.4933648504719993E-01 a        58     0     3     1    18
  1.6688732670018479E-02 a        59     0     3     1    19
  1.6126083909233704E-01 a        60     0     3     1    20
  4.3784819316877312E-02 a        61     0     4     1     1
 -2.3432310174193405E-01 a        62     0     4     1     2
  8.4767082690159160E-02 a        63     0     4     1     3
  4.1627884430531431E-01 a        64     0     4     1     4
 -7.1300427890645376E-02 a        65     0     4     1     5
  9.5793281461935054E-02 a        66     0     4     1     6
 -1.8217269268825581E-01 a        67     0     4     1     7
  4.6881568812161406E-03 a        68     0     4     1     8
  2.6676454497267155E-01 a        69     0     4     1     9
  1.2261975330544483E-01 a        70     0     4     1    10
  4.1791770932443362E-01 a        71     0     4     1    11
  1.9944801106667086E-02 a        72     0     4     1    12
  6.3488606849306251E-01 a        73     0     4     1    13
  8.0774971732823567E-02 a        74     0     4     1    14
  2.8471566198308335E-01 a        75     0     4     1    15
  5.1294856638290441E-02 a        76     0     4     1    16
 -3.0968319066117422E-01 a        77     0     4     1    17
 -4.0441322648476907E-01 a        78     0     4     1    18
  8.7571757582602369E-02 a        79     0     4     1    19
  5.3997444575733529E-02 a        80     0     4     1    20
  1.7365727408634010E-01 a        81     0     5     1     1
 -3.1459388957661116E-01 a        82     0     5     1     2
 -2.0145699146995283E-01 a        83     0     5     1     3
  2.0511827660336901E-01 a        84     0     5     1     4
  1.2779210175245359E-01 a        85     0     5     1     5
  3.1870739341058263E-01 a        86     0     5     1     6
  5.5289179707059355E-01 a        87     0     5     1     7
 -4.0767267669931118E-01 a        88     0     5     1     8
 -1.0316712220659742E-01 a        89     0     5     1     9
 -9.6032828700435238E-02 a        90     0     5     1    10
 -8.4998190509807492E-01 a        91     0     5     1    11
 -1.7083872516991347E-01 a        92     0     5     1    12
  2.6794659373326146E-01 a        93     0     5     1    13
  5.6796241338532789E-02 a        94     0     5     1    14
 -1.3043552739139691E-01 a        95     0     5     1    15
 -4.3331064129455626E-01 a        96     0     5     1    16
 -4.9732529927263058E-01 a        97     0     5     1    17
 -2.7381527818124501E-01 a        98     0     5     1    18
