################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6495743529117224E-01 a         1     0     1     1     1
 -2.7884181190934741E-02 a         2     0     1     1     2
  4.1263240761946962E-01 a         3     0     1     1     3
  8.9111214753844092E-02 a         4     0     1     1     4
 -5.7544123481733274E-02 a         5     0     1     1     5
 -3.7587205804090124E-01 a         6     0     1     1     6
  6.9261012460016397E-02 a         7     0     1     1     7
 -2.7145611836076073E-03 a         8     0     1     1     8
  1.3438285905314092E-02 a         9     0     1     1     9
 -5.4684969639941350E-01 a        10     0     1     1    10
 -3.0287769523307972E-01 a        11     0     1     1    11
 -4.9288657385666562E-01 a        12     0     1     1    12
  5.7770293456559985E-02 a        13     0     1     1    13
  5.4688783664962126E-01 a        14     0     1     1    14
 -2.1785173752525308E-01 a        15     0     1     1    15
  3.6537867151728459E-01 a        16     0     1     1    16
 -3.1554246003282099E-01 a        17     0     1     1    17
  2.1015716806844886E-02 a        18     0     1     1    18
  3.1629712758645323E-01 a        19     0     1     1    19
 -4.3901824356625108E-01 a        20     0     1     1    20
  3.1110307932382168E-02 a        21     0     2     1     1
 -2.7885946862459460E-02 a        22     0     2     1     2
 -1.5314829389695972E-01 a        23     0     2     1     3
 -7.2637812571127613E-02 a        24     0     2     1     4
  8.5818553376736009E-02 a        25     0     2     1     5
 -2.2692482952971765E-01 a        26     0     2     1     6
  1.2840620279779832E-01 a        27     0     2     1     7
 -7.9059311117200590E-02 a        28     0     2     1     8
  3.3763241469245742E-01 a        29     0     2     1     9
 -3.7124174975811192E-01 a        30     0     2     1    10
 -4.2453424570918880E-01 a        31     0     2     1    11
  1.0973943638604147E-01 a        32     0     2     1    12
  3.0321454341700020E-02 a        33     0     2     1    13
  3.8373671116041308E-01 a        34     0     2     1    14
 -1.2569119585610625E-01 a        35     0     2     1    15
  2.4328163767285516E-01 a        36     0     2     1    16
 -5.5161737120637644E-01 a        37     0     2     1    17
  1.9092139620753644E-02 a        38     0     2     1    18
  4.1460370881438668E-02 a        39     0     2     1    19
  4.7211685214321716E-02 a        40     0     2     1    20
  2.5235109330964950E-01 a        41     0     3     1     1
 -1.7366364959869629E-01 a        42     0     3     1     2
  3.3158289433805982E-01 a        43     0     3     1     3
  1.1918583835284087E-01 a        44     0     3     1     4
 -4.5622612703715337E-01 a        45     0     3     1     5
  2.5301474828476167E-01 a        46     0     3     1     6
 -1.7501158194277250E-01 a        47     0     3     1     7
 -2.3984394573501919E-01 a        48     0     3     1     8
 -2.4282217500889064E-01 a        49     0     3     1     9
  1.0207364055449332E-01 a        50     0     3     1    10
