################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   2.0502753229061565E-01   1.2287426872971152E-01   1.2182211628646791E-02
         1          2   3.8033584803114522E-02   1.9843485358651136E-01   1.1900027943186410E-01   1.1933811527702239E-02
         1          3   3.3335454613013259E-02   1.8691987757392933E-01   1.1085641075783753E-01   1.1461736042362100E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.9742845444829753E-02   1.0900100561219938E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2668473088125241E-02   3.8207033396521813E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2934604901334604E-02   9.6530189923007426E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2651505076537737E-03   1.0840076138082281E-03
         1          8   1.8855197103169671E-06   1.5735841661898180E-03   1.5557219242854750E-04   6.8292649770131610E-05
         1          9   5.0565546830039484E-02   6.1784605882791943E-01   1.9312637524550436E-01   6.2563145445993409E-02
         1         10   4.4046602699219208E-02   5.7808944519808181E-01   1.7288271638983374E-01   5.6166830566722073E-02
         1         11   3.2536652806271521E-02   5.0045606885981975E-01   1.3615845651050212E-01   4.4527709972357152E-02
         1         12   2.0496640856004257E-02   4.0645698353519072E-01   9.6784541706695953E-02   3.2037843603219207E-02
         1         13   6.4553885491769086E-04   8.4096529024456065E-02   6.8937495943679648E-03   2.9808760257472168E-03
         1         14   5.1362886002070231E-03   2.3476434973999735E-01   3.8097035186668286E-02   1.3750051109917940E-02
