################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8207300301203344E-01 a         1     0     1     1     1
  4.0043054179418933E-02 a         2     0     1     1     2
  1.8356461226967727E-01 a         3     0     1     1     3
 -1.8377272812898318E-01 a         4     0     1     1     4
  7.8962162147275014E-02 a         5     0     1     1     5
  6.4178796627490015E-02 a         6     0     1     1     6
 -4.8505986669917800E-01 a         7     0     1     1     7
  1.3847872015037715E-01 a         8     0     1     1     8
 -1.9717504549896456E-01 a         9     0     1     1     9
 -1.5206021339182720E-02 a        10     0     1     1    10
  1.6128826942706698E-01 a        11     0     1     1    11
 -2.1921653617096734E-01 a        12     0     1     1    12
  1.6193471527832248E-01 a        13     0     1     1    13
 -1.5959928393480755E-01 a        14     0     1     1    14
  1.2286566540643258E-01 a        15     0     1     1    15
  1.8889617610367157E-01 a        16     0     1     1    16
  2.0185299796479278E-01 a        17     0     1     1    17
  2.0586272768855068E-01 a        18     0     1     1    18
  3.0801160049338377E-01 a        19     0     1     1    19
  3.5877510716633831E-01 a        20     0     1     1    20
  7.4445569764284528E-02 a        21     0     2     1     1
  9.1326085561019132E-03 a        22     0     2     1     2
  2.6337702641740290E-01 a        23     0     2     1     3
 -3.4388058615303602E-01 a        24     0     2     1     4
  2.5248180558589295E-01 a        25     0     2     1     5
  2.1772162658250110E-01 a        26     0     2     1     6
  3.4951509174847191E-02 a        27     0     2     1     7
 -3.4263819601755524E-01 a        28     0     2     1     8
  1.9441604839911641E-01 a        29     0     2     1     9
  2.2098939117291891E-01 a        30     0     2     1    10
 -3.4923124208098499E-01 a        31     0     2     1    11
 -7.8766856487505407E-02 a        32     0     2     1    12
  8.3073429696898085E-02 a        33     0     2     1    13
  1.4981896417482410E-02 a        34     0     2     1    14
 -3.7553597884475470E-01 a        35     0     2     1    15
  1.2938055878233431E-02 a        36     0     2     1    16
  2.4648754815368140E-01 a        37     0     2     1    17
  6.4259559833181060E-02 a        38     0     2     1    18
 -1.4430537270392615E-01 a        39     0     2     1    19
 -6.1625932142430256E-02 a        40     0     2     1    20
  2.0333579346378597E-02 a        41     0     3     1     1
 -8.7676004074949812E-02 a        42     0     3     1     2
 -2.7442216777584083E-01 a        43     0     3     1     3
 -5.4073714098467868E-02 a        44     0     3     1     4
  2.0144752272126581E-01 a        45     0     3     1     5
 -2.8302531076692700E-01 a        46     0     3     1     6
  2.2368689892540553E-01 a        47     0     3     1     7
  2.6045067382312570E-01 a        48     0     3     1     8
  4.0843981828559911E-01 a        49     0     3     1     9
 -2.8438791859461479E-02 a        50     0     3     1    10
  1.5978319771312638E-01 a        51     0     3     1    11
  1.7212841653372152E-01 a        52     0     3     1    12
  2.5836251170624258E-01 a        53     0     3     1    13
  1.3366478225161377E-01 a        54     0     3     1    14
  1.4976230849120711E-01 a        55     0     3     1    15
 -1.8728377782626707E-01 a        56     0     3     1    16
 -3.1836428928157756E-01 a        57     0     3     1    17
  5.1914169442854506E-02 a        58     0     3     1    18
 -3.2458996878929586E-01 a        59     0     3     1    19
 -3.8566746214847319E-01 a        60     0     3     1    20
  2.8107677139625314E-01 a        61     0     4     1     1
 -3.2841643618054794E-01 a        62     0     4     1     2
 -4.4909827800356594E-01 a        63     0     4     1     3
  3.4680971160205359E-01 a        64     0     4     1     4
 -1.3546994894032124E-01 a        65     0     4     1     5
  2.1085170128111128E-01 a        66     0     4     1     6
  1.2002045855553552E-01 a        67     0     4     1     7
  1.2702055882681096E-01 a        68     0     4     1     8
 -8.3457713006775940E-03 a        69     0     4     1     9
  1.4617867127912257E-01 a        70     0     4     1    10
 -3.0057942226215443E-02 a        71     0     4     1    11
 -1.2238364621466329E-01 a        72     0     4     1    12
 -2.7494393660128358E-01 a        73     0     4     1    13
  1.5455904473782739E-01 a        74     0     4     1    14
  2.8199917436458993E-01 a        75     0     4     1    15
 -3.6846452785734729E-01 a        76     0     4     1    16
  1.3538602079457501E-01 a        77     0     4     1    17
  3.0440439343811782E-01 a        78     0     4     1    18
 -1.7107648154092597E-01 a        79     0     4     1    19
 -2.1553265720829107E-01 a        80     0     4     1    20
  2.7506361754366077E-01 a        81     0     5     1     1
  4.8828132379517647E-01 a        82     0     5     1     2
 -1.6538210265990813E-01 a        83     0     5     1     3
  7.2088144602163035E-03 a        84     0     5     1     4
 -2.9420946843242318E-01 a        85     0     5     1     5
  6.4275040463528044E-01 a        86     0     5     1     6
  3.0916227967704873E-01 a        87     0     5     1     7
  2.9883339192116637E-01 a        88     0     5     1     8
  1.1579568055962325E-01 a        89     0     5     1     9
  1.7997777852922567E-01 a        90     0     5     1    10
 -7.1273884336039593E-03 a        91     0     5     1    11
  2.9516719208611975E-01 a        92     0     5     1    12
 -2.6334715628442834E-01 a        93     0     5     1    13
 -3.3168632898148126E-01 a        94     0     5     1    14
  5.4981181943689128E-01 a        95     0     5     1    15
 -2.0321959959490735E-01 a        96     0     5     1    16
  3.1545161497736512E-01 a        97     0     5     1    17
 -7.3156511598988894E-01 a        98     0     5     1    18
  4.0538237929592491E-02 a        99     0     5     1    19
 -1.0802706593848802E-02 a       100     0     5     1    20
  1.9745312110939181E-01 a       101     0     6     1     1
 -8.7254961687595389E-02 a       102     0     6     1     2
 -4.0480707160257023E-01 a       103     0     6     1     3
  4.9875550491266574E-01 a       104     0     6     1     4
 -3.9659461767193349E-01 a       105     0     6     1     5
  3.6965134059181204E-01 a       106     0     6     1     6
 -1.8016777022682973E-03 a       107     0     6     1     7
  5.5158271150166616E-01 a       108     0     6     1     8
 -9.5746394264404362E-03 a       109     0     6     1     9
  2.9781756302665713E-01 a       110     0     6     1    10
 -5.2478468420809066E-01 a       111     0     6     1    11
 -7.3222734432070724E-02 a       112     0     6     1    12
 -9.4183645366163624E-02 a       113     0     6     1    13
  8.9665584109463806E-02 a       114     0     6     1    14
  3.1056953207321203E-01 a       115     0     6     1    15
 -5.6988474938596312E-01 a       116     0     6     1    16
 -2.9688007127322846E-01 a       117     0     6     1    17
 -1.4806891957167256E-01 a       118     0     6     1    18
 -2.1717420037230639E-01 a       119     0     6     1    19
 -2.1995623283088253E-02 a       120     0     6     1    20
  3.0757047871542126E-02 a       121     0     7     1     1
  4.2038910862879314E-01 a       122     0     7     1     2
  3.0953425057469786E-01 a       123     0     7     1     3
 -1.3213824429939725E-01 a       124     0     7     1     4
 -2.6522425074431594E-01 a       125     0     7     1     5
 -1.9902152136984871E-01 a       126     0     7     1     6
  2.7827977591592662E-01 a       127     0     7     1     7
 -3.6704807939654155E-01 a       128     0     7     1     8
 -3.1174748281592196E-01 a       129     0     7     1     9
  4.9696827155911366E-01 a       130     0     7     1    10
 -1.2853356274780586E-01 a       131     0     7     1    11
  2.8367630529421189E-01 a       132     0     7     1    12
 -1.2412445255538276E-01 a       133     0     7     1    13
 -7.0381619939540985E-01 a       134     0     7     1    14
  1.0286263813375193E-01 a       135     0     7     1    15
  9.3528611867642886E-01 a       136     0     7     1    16
  2.1495716876076387E-01 a       137     0     7     1    17
 -3.7028458915596757E-01 a       138     0     7     1    18
  6.6401784626123811E-02 a       139     0     7     1    19
 -7.4103795464650157E-01 a       140     0     7     1    20
  1.8173710846874436E-01 a       141     0     8     1     1
 -8.7548577147094769E-02 a       142     0     8     1     2
 -1.3591325100976348E-01 a       143     0     8     1     3
 -3.3704208503404842E-01 a       144     0     8     1     4
 -2.9731386148583572E-01 a       145     0     8     1     5
 -1.2872528277019987E-01 a       146     0     8     1     6
 -2.4710661797204428E-01 a       147     0     8     1     7
 -1.0419991881845522E-01 a       148     0     8     1     8
  3.8276300985411425E-02 a       149     0     8     1     9
 -1.6098511621220907E-02 a       150     0     8     1    10
 -2.7226575020097982E-01 a       151     0     8     1    11
 -2.3060310646319099E-01 a       152     0     8     1    12
 -1.2338027200189769E-01 a       153     0     8     1    13
  2.5811748836741810E-01 a       154     0     8     1    14
  2.7932400391177076E-01 a       155     0     8     1    15
 -6.3762800432484146E-01 a       156     0     8     1    16
 -1.5098265863806923E-01 a       157     0     8     1    17
  3.1205553275699355E-01 a       158     0     8     1    18
 -2.6460573114668701E-01 a       159     0     8     1    19
  3.1421033381326208E-01 a       160     0     8     1    20
  4.5122696812754626E-01 a       161     0     9     1     1
  1.0963568589632680E-01 a       162     0     9     1     2
 -1.0366164621558419E-01 a       163     0     9     1     3
 -1.0860569456734475E-02 a       164     0     9     1     4
  1.3078409305032082E-01 a       165     0     9     1     5
  3.7990124625668725E-01 a       166     0     9     1     6
 -2.6554778589851596E-01 a       167     0     9     1     7
 -4.6891322019031643E-02 a       168     0     9     1     8
  3.0099226843412225E-01 a       169     0     9     1     9
  1.4117052737488009E-01 a       170     0     9     1    10
 -1.4415451086630853E-02 a       171     0     9     1    11
 -1.6148927044197309E-01 a       172     0     9     1    12
  3.3088703189986046E-01 a       173     0     9     1    13
  2.3720650006508159E-01 a       174     0     9     1    14
  1.1487444415958800E-01 a       175     0     9     1    15
 -8.7143911900343735E-02 a       176     0     9     1    16
 -1.9547246665499710E-01 a       177     0     9     1    17
  4.0083683799392167E-01 a       178     0     9     1    18
  2.3216789890510900E-01 a       179     0     9     1    19
 -1.6116165156430100E-02 a       180     0     9     1    20
  2.7164517096491897E-01 a       181     0    10     1     1
 -1.0105609220980766E-01 a       182     0    10     1     2
 -1.8813727999811916E-01 a       183     0    10     1     3
  2.5581413930508690E-01 a       184     0    10     1     4
 -2.3215267091280040E-01 a       185     0    10     1     5
  5.1665492012738796E-02 a       186     0    10     1     6
 -1.8740344423853528E-01 a       187     0    10     1     7
  1.7381645929302267E-01 a       188     0    10     1     8
 -1.5895781596400438E-01 a       189     0    10     1     9
  2.6018592755345504E-01 a       190     0    10     1    10
  1.3932857425835726E-01 a       191     0    10     1    11
  1.0061785736968065E-01 a       192     0    10     1    12
 -1.7303313439174228E-01 a       193     0    10     1    13
 -1.3656070843393386E-01 a       194     0    10     1    14
  1.6308174748926690E-01 a       195     0    10     1    15
 -2.7284918320881313E-01 a       196     0    10     1    16
 -8.2174999232055887E-02 a       197     0    10     1    17
 -5.8116206577026375E-02 a       198     0    10     1    18
  3.8468881819731882E-01 a       199     0    10     1    19
 -1.1855849581134092E-01 a       200     0    10     1    20
 -4.6054273559731213E-01 a       201     0    11     1     1
 -1.1384549301421086E-01 a       202     0    11     1     2
  2.8582210436890182E-01 a       203     0    11     1     3
 -4.6577014605115241E-01 a       204     0    11     1     4
 -2.8357270518003349E-02 a       205     0    11     1     5
 -3.0609982716446782E-01 a       206     0    11     1     6
  1.0806198969519271E-01 a       207     0    11     1     7
 -6.8830992388541443E-02 a       208     0    11     1     8
 -7.1206981712225670E-02 a       209     0    11     1     9
 -3.2466452605251211E-01 a       210     0    11     1    10
 -2.2112307479031992E-01 a       211     0    11     1    11
  2.1387623531188169E-01 a       212     0    11     1    12
  2.6829677438840310E-01 a       213     0    11     1    13
 -8.8479808972629831E-02 a       214     0    11     1    14
 -2.2358416867867489E-01 a       215     0    11     1    15
 -4.0078132441769545E-03 a       216     0    11     1    16
  1.7327318082726384E-01 a       217     0    11     1    17
 -1.2709049493224598E-02 a       218     0    11     1    18
  2.6485214485546577E-01 a       219     0    11     1    19
 -4.5457794701916854E-02 a       220     0    11     1    20
  9.3278255547810177E-02 a       221     0    12     1     1
 -1.6514556330335992E-01 a       222     0    12     1     2
  1.1980649020252973E-01 a       223     0    12     1     3
 -1.6966353659271050E-01 a       224     0    12     1     4
  2.8622542775925452E-01 a       225     0    12     1     5
  1.3741282126261928E-01 a       226     0    12     1     6
  4.3278187697730974E-01 a       227     0    12     1     7
  5.1488607400984532E-01 a       228     0    12     1     8
  4.2480081574237005E-01 a       229     0    12     1     9
  1.8803303644914296E-01 a       230     0    12     1    10
 -2.5566070317248352E-01 a       231     0    12     1    11
  1.1143022559131428E-01 a       232     0    12     1    12
 -8.0413612596403044E-03 a       233     0    12     1    13
 -2.8723425863900441E-03 a       234     0    12     1    14
 -1.7101931434261930E-01 a       235     0    12     1    15
  3.5623964983678214E-01 a       236     0    12     1    16
  1.4738891253560585E-01 a       237     0    12     1    17
  9.7580233898962615E-02 a       238     0    12     1    18
  1.9479157621981680E-01 a       239     0    12     1    19
  7.9086574180285696E-02 a       240     0    12     1    20
  8.6662342656150984E-02 a       241     0    13     1     1
  1.7443513781415430E-02 a       242     0    13     1     2
 -1.7295636181945662E-01 a       243     0    13     1     3
 -2.0683361571260156E-01 a       244     0    13     1     4
 -2.7886451731786183E-01 a       245     0    13     1     5
 -2.5057455392476191E-01 a       246     0    13     1     6
  9.2041801090586586E-02 a       247     0    13     1     7
 -8.3967496543215253E-02 a       248     0    13     1     8
 -3.3385785245428581E-02 a       249     0    13     1     9
  5.2572117553189746E-01 a       250     0    13     1    10
 -3.3625042378289477E-01 a       251     0    13     1    11
  4.3286302488293554E-01 a       252     0    13     1    12
  1.1082917080845968E-02 a       253     0    13     1    13
