################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.9921600439176910E-01 a         1     0     1     1     1
 -3.3727658576219316E-01 a         2     0     1     1     2
 -2.0136270286913428E-02 a         3     0     1     1     3
  7.5232140662329569E-02 a         4     0     1     1     4
 -1.9108664052606689E-01 a         5     0     1     1     5
  2.0852518963624433E-01 a         6     0     1     1     6
 -6.2973923592911513E-02 a         7     0     1     1     7
 -1.4800768815315068E-01 a         8     0     1     1     8
  3.2077555916140227E-01 a         9     0     1     1     9
 -3.3224073530256854E-01 a        10     0     1     1    10
  5.3874930567691559E-01 a        11     0     1     1    11
  6.9486459496951106E-03 a        12     0     1     1    12
  6.9108791127314731E-02 a        13     0     1     1    13
 -5.7809284181071473E-02 a        14     0     1     1    14
 -1.9489825057820950E-01 a        15     0     1     1    15
  5.1728128767997139E-01 a        16     0     1     1    16
  1.3500558465053569E-01 a        17     0     1     1    17
  1.3439896243910657E-01 a        18     0     1     1    18
 -1.9674489343864413E-01 a        19     0     1     1    19
  1.2526409980113529E-01 a        20     0     1     1    20
 -4.1437551957913848E-02 a        21     0     2     1     1
  3.4798004999103543E-01 a        22     0     2     1     2
  3.3475123957429070E-01 a        23     0     2     1     3
 -1.1214463540863180E-01 a        24     0     2     1     4
 -9.1747882777553511E-02 a        25     0     2     1     5
  1.0346840844251824E-01 a        26     0     2     1     6
 -3.7675871382543552E-01 a        27     0     2     1     7
 -3.6712745346396936E-01 a        28     0     2     1     8
  8.9844629314493399E-02 a        29     0     2     1     9
 -2.3161010235110666E-01 a        30     0     2     1    10
 -4.4502871644562937E-02 a        31     0     2     1    11
 -7.8996445759082184E-02 a        32     0     2     1    12
  4.1753647291307222E-01 a        33     0     2     1    13
 -1.9560901008246245E-01 a        34     0     2     1    14
  6.3154025593514143E-02 a        35     0     2     1    15
  2.5230561883598135E-01 a        36     0     2     1    16
 -1.5714238288262194E-01 a        37     0     2     1    17
 -6.9618934727822671E-02 a        38     0     2     1    18
 -9.3224431256865539E-02 a        39     0     2     1    19
 -9.1798137865106863E-02 a        40     0     2     1    20
 -3.7171521505272181E-01 a        41     0     3     1     1
 -6.6109397334685266E-02 a        42     0     3     1     2
  4.7895395479569564E-01 a        43     0     3     1     3
 -2.1847107314903105E-01 a        44     0     3     1     4
  1.1381270711439677E-01 a        45     0     3     1     5
 -1.4310719856613996E-01 a        46     0     3     1     6
 -1.1619837117631955E-01 a        47     0     3     1     7
  6.2465895178666464E-02 a        48     0     3     1     8
  1.7803997768812110E-01 a        49     0     3     1     9
 -5.8268175278764550E-03 a        50     0     3     1    10
  1.0502377296478714E-01 a        51     0     3     1    11
  7.7634140720444333E-02 a        52     0     3     1    12
 -1.4057204480975818E-01 a        53     0     3     1    13
 -2.2414021691439992E-01 a        54     0     3     1    14
  5.3566559855522666E-02 a        55     0     3     1    15
 -3.1858345643140001E-01 a        56     0     3     1    16
 -1.2288064906210169E-01 a        57     0     3     1    17
 -1.8595724881501907E-01 a        58     0     3     1    18
  2.8709307554448010E-01 a        59     0     3     1    19
 -2.1802392559349980E-02 a        60     0     3     1    20
 -4.3864453043780982E-01 a        61     0     4     1     1
  1.0108384345702275E-01 a        62     0     4     1     2
  1.6551482474025564E-01 a        63     0     4     1     3
 -3.5972533683744708E-02 a        64     0     4     1     4
  2.4849315174040199E-02 a        65     0     4     1     5
 -3.6312514557498260E-01 a        66     0     4     1     6
  3.9883672056291974E-01 a        67     0     4     1     7
 -2.1513817995491058E-01 a        68     0     4     1     8
  1.0845928451048473E-01 a        69     0     4     1     9
  9.2138108528771620E-02 a        70     0     4     1    10
 -3.3959285561930896E-01 a        71     0     4     1    11
  2.2328779707038629E-01 a        72     0     4     1    12
 -1.7448805571049752E-01 a        73     0     4     1    13
  2.0574910465992921E-01 a        74     0     4     1    14
 -4.1128077765006793E-02 a        75     0     4     1    15
 -3.1704537556496148E-01 a        76     0     4     1    16
 -3.9076811455812564E-02 a        77     0     4     1    17
 -1.2557369913379510E-01 a        78     0     4     1    18
  2.9708534679908372E-01 a        79     0     4     1    19
  6.0269839151063084E-02 a        80     0     4     1    20
  2.5537542674683700E-01 a        81     0     5     1     1
 -1.7196292833439455E-01 a        82     0     5     1     2
 -1.8696886603890203E-01 a        83     0     5     1     3
 -3.5295967144765295E-01 a        84     0     5     1     4
  5.4995663894148905E-01 a        85     0     5     1     5
 -5.2128637893086549E-01 a        86     0     5     1     6
  6.3371690908827546E-03 a        87     0     5     1     7
  3.4211465186680035E-01 a        88     0     5     1     8
 -4.8835806332382969E-01 a        89     0     5     1     9
  6.1514069844189202E-02 a        90     0     5     1    10
 -3.2404462524217498E-01 a        91     0     5     1    11
 -7.2891815635892324E-02 a        92     0     5     1    12
 -5.0487021205193905E-01 a        93     0     5     1    13
 -8.1745552512737046E-02 a        94     0     5     1    14
 -4.0870007742310233E-01 a        95     0     5     1    15
 -4.3986559902590888E-01 a        96     0     5     1    16
 -3.3444208203847547E-01 a        97     0     5     1    17
 -1.4443943207741328E-01 a        98     0     5     1    18
 -2.0325083396445448E-01 a        99     0     5     1    19
 -1.0094521088909980E-01 a       100     0     5     1    20
 -1.5375580047059925E-01 a       101     0     6     1     1
  2.2786105894593833E-01 a       102     0     6     1     2
  4.4042057869648288E-01 a       103     0     6     1     3
 -6.4688089034126456E-02 a       104     0     6     1     4
 -8.1292370673557088E-02 a       105     0     6     1     5
 -4.2092688231639996E-01 a       106     0     6     1     6
  6.0716888972169314E-01 a       107     0     6     1     7
  4.3345155955553738E-01 a       108     0     6     1     8
 -5.6386648227408376E-01 a       109     0     6     1     9
  5.7265722669396157E-01 a       110     0     6     1    10
 -4.9062075444096165E-01 a       111     0     6     1    11
 -6.0263590484183123E-02 a       112     0     6     1    12
 -3.5755970909148671E-01 a       113     0     6     1    13
  3.9884477542394353E-01 a       114     0     6     1    14
 -1.3481876422742406E-01 a       115     0     6     1    15
 -2.6303178205960120E-01 a       116     0     6     1    16
 -7.4418327677320290E-02 a       117     0     6     1    17
 -8.3568991067973164E-02 a       118     0     6     1    18
 -1.8164586975819305E-01 a       119     0     6     1    19
  1.8495114065185522E-01 a       120     0     6     1    20
  1.7575884789113969E-01 a       121     0     7     1     1
  3.1985330256528804E-02 a       122     0     7     1     2
 -8.0434312660275098E-01 a       123     0     7     1     3
 -6.5902805344899384E-01 a       124     0     7     1     4
  1.3390222095146623E-01 a       125     0     7     1     5
  3.6739160589016585E-02 a       126     0     7     1     6
 -6.2164690372596509E-01 a       127     0     7     1     7
  2.2755137399790332E-01 a       128     0     7     1     8
  1.2111950913990387E-01 a       129     0     7     1     9
 -3.1719582867025609E-01 a       130     0     7     1    10
  1.0360649338510702E-01 a       131     0     7     1    11
 -1.4722983817272559E-01 a       132     0     7     1    12
 -1.1693789707998341E-01 a       133     0     7     1    13
  1.0571114537410767E-01 a       134     0     7     1    14
  3.5474767567301935E-01 a       135     0     7     1    15
  2.4136219716520188E-01 a       136     0     7     1    16
 -2.8183036793235378E-01 a       137     0     7     1    17
  4.1875803420222396E-01 a       138     0     7     1    18
 -7.0205186481892288E-03 a       139     0     7     1    19
  2.1249609056580471E-01 a       140     0     7     1    20
 -6.7437805717730642E-02 a       141     0     8     1     1
  1.2355210001342408E-01 a       142     0     8     1     2
  2.5704847751281246E-01 a       143     0     8     1     3
  4.7531243292219916E-02 a       144     0     8     1     4
 -3.7788540365137685E-01 a       145     0     8     1     5
  5.8543003724824086E-02 a       146     0     8     1     6
  1.9481258888626329E-01 a       147     0     8     1     7
  2.3138386099313686E-02 a       148     0     8     1     8
 -1.1352738050512592E-01 a       149     0     8     1     9
 -2.9536165540479560E-02 a       150     0     8     1    10
  2.9293756408773636E-01 a       151     0     8     1    11
 -6.3726643489628559E-02 a       152     0     8     1    12
 -1.9903159369602505E-02 a       153     0     8     1    13
 -6.1434082171277854E-02 a       154     0     8     1    14
  1.8640383974234978E-01 a       155     0     8     1    15
 -3.5304526390758773E-01 a       156     0     8     1    16
  3.2071085515446440E-01 a       157     0     8     1    17
  2.2506962229293520E-01 a       158     0     8     1    18
 -1.6584902827975712E-01 a       159     0     8     1    19
 -1.2002627540204816E-01 a       160     0     8     1    20
  2.4761303377947483E-01 a       161     0     9     1     1
 -1.3314146018692968E-01 a       162     0     9     1     2
 -9.5995419451961841E-02 a       163     0     9     1     3
 -3.2342464697066714E-01 a       164     0     9     1     4
  3.6731862887553518E-01 a       165     0     9     1     5
 -1.9964821846826558E-01 a       166     0     9     1     6
  1.7262394077364795E-01 a       167     0     9     1     7
 -5.9994824812866610E-02 a       168     0     9     1     8
  1.0541685633093066E-01 a       169     0     9     1     9
  2.0142846292828176E-01 a       170     0     9     1    10
 -1.2564315376598764E-01 a       171     0     9     1    11
 -1.1172111562486466E-01 a       172     0     9     1    12
 -1.3808996493361106E-01 a       173     0     9     1    13
 -2.0433188441753192E-01 a       174     0     9     1    14
 -1.5110696087160203E-02 a       175     0     9     1    15
 -7.1105451560009991E-01 a       176     0     9     1    16
 -1.4044915982374112E-01 a       177     0     9     1    17
  1.6096183910920833E-01 a       178     0     9     1    18
