################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.0385151262438414E-01 a         1     0     1     1     1
 -1.2762444547593987E-01 a         2     0     1     1     2
  3.7633679594726976E-01 a         3     0     1     1     3
 -3.6566984906224376E-01 a         4     0     1     1     4
 -2.8772112510117087E-01 a         5     0     1     1     5
  2.5069725930552823E-02 a         6     0     1     1     6
 -4.3519093491441424E-02 a         7     0     1     1     7
  3.7289577382510736E-01 a         8     0     1     1     8
  1.8655935191576931E-01 a         9     0     1     1     9
 -1.1313337217197224E-01 a        10     0     1     1    10
 -4.8101761999150799E-01 a        11     0     1     1    11
  3.4635206553185899E-01 a        12     0     1     1    12
 -3.8380486732387795E-02 a        13     0     1     1    13
  1.2621131463477403E-01 a        14     0     1     1    14
  1.5522781158818008E-02 a        15     0     1     1    15
 -3.9373788424530383E-02 a        16     0     1     1    16
 -1.5876884005991232E-01 a        17     0     1     1    17
  1.1586619110647235E-01 a        18     0     1     1    18
  1.2485550775769794E-01 a        19     0     1     1    19
  7.8056755208452649E-02 a        20     0     1     1    20
  1.1506142743324381E-01 a        21     0     2     1     1
 -4.3056959799909655E-01 a        22     0     2     1     2
  5.0813187681977567E-01 a        23     0     2     1     3
 -3.5228422766459162E-02 a        24     0     2     1     4
  2.1455349977321492E-01 a        25     0     2     1     5
 -3.7580761225550963E-01 a        26     0     2     1     6
  2.2964506713239610E-01 a        27     0     2     1     7
  1.3171331521158737E-02 a        28     0     2     1     8
  1.4974660255589169E-02 a        29     0     2     1     9
 -2.5470027136036799E-01 a        30     0     2     1    10
 -7.8987931212981310E-02 a        31     0     2     1    11
  3.3153909232905560E-01 a        32     0     2     1    12
 -1.5918750559857497E-01 a        33     0     2     1    13
 -8.2908087468803723E-02 a        34     0     2     1    14
  7.8167410629448708E-02 a        35     0     2     1    15
  3.0341824888946622E-01 a        36     0     2     1    16
  2.2529530858069333E-01 a        37     0     2     1    17
  7.9884574236155040E-02 a        38     0     2     1    18
  1.8985381617149366E-01 a        39     0     2     1    19
 -3.1801646858086886E-03 a        40     0     2     1    20
 -1.0467118913220221E-01 a        41     0     3     1     1
  1.7490929195264412E-01 a        42     0     3     1     2
 -2.9095625813260539E-01 a        43     0     3     1     3
  5.0255613818074052E-01 a        44     0     3     1     4
 -1.7099699656301034E-02 a        45     0     3     1     5
  2.2218112711751800E-01 a        46     0     3     1     6
 -6.5514646212124009E-02 a        47     0     3     1     7
 -2.1399004518636125E-01 a        48     0     3     1     8
  1.7763423387541044E-01 a        49     0     3     1     9
  2.5090939642728710E-01 a        50     0     3     1    10
 -1.3607453213880202E-01 a        51     0     3     1    11
 -3.5029373388697876E-01 a        52     0     3     1    12
  2.3407079860765864E-01 a        53     0     3     1    13
 -3.4075622445304779E-02 a        54     0     3     1    14
