################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.6605131804336629E-01 a         1     0     1     1     1
 -6.1267243986526954E-01 a         2     0     1     1     2
 -2.2620775382112224E-01 a         3     0     1     1     3
  1.2158054047310740E-01 a         4     0     1     1     4
  6.2588451062994665E-03 a         5     0     1     1     5
  3.0926925385667448E-01 a         6     0     1     1     6
 -2.4063236223417883E-01 a         7     0     1     1     7
  2.1722739544938505E-01 a         8     0     1     1     8
 -2.8081812521336241E-01 a         9     0     1     1     9
 -5.6833360000075314E-02 a        10     0     1     1    10
 -4.9401174132763584E-02 a        11     0     1     1    11
 -7.3946604996429036E-02 a        12     0     1     1    12
 -3.7215198428919294E-01 a        13     0     1     1    13
 -1.9861073874423549E-01 a        14     0     1     1    14
  3.2126126959316648E-01 a        15     0     1     1    15
  1.0476952114303893E-01 a        16     0     1     1    16
  5.3081351857060546E-02 a        17     0     1     1    17
  5.2211580306141891E-01 a        18     0     1     1    18
 -4.8874143140638349E-01 a        19     0     1     1    19
 -7.9542907805088270E-02 a        20     0     1     1    20
  3.0033556950558404E-01 a        21     0     2     1     1
  5.9773676044709852E-02 a        22     0     2     1     2
 -2.9385932951449417E-01 a        23     0     2     1     3
  8.9428641083733232E-02 a        24     0     2     1     4
 -2.4512428936126662E-01 a        25     0     2     1     5
  1.8271623652898522E-01 a        26     0     2     1     6
 -5.4518750198679722E-01 a        27     0     2     1     7
  4.5231270308362720E-01 a        28     0     2     1     8
  2.1009029625357289E-01 a        29     0     2     1     9
  2.0752964037558688E-01 a        30     0     2     1    10
 -2.1359200926644906E-01 a        31     0     2     1    11
  1.8951939949864355E-01 a        32     0     2     1    12
 -1.5719987325269730E-01 a        33     0     2     1    13
 -1.8167797651124393E-01 a        34     0     2     1    14
  6.8804492156643027E-01 a        35     0     2     1    15
 -6.4496520204926786E-02 a        36     0     2     1    16
 -2.2302055414780869E-01 a        37     0     2     1    17
  2.3531147788331729E-02 a        38     0     2     1    18
 -6.7899589458914322E-01 a        39     0     2     1    19
  3.2063400881058933E-02 a        40     0     2     1    20
 -3.5910854570797457E-01 a        41     0     3     1     1
 -8.3337449958375442E-02 a        42     0     3     1     2
 -7.6485229974084676E-02 a        43     0     3     1     3
 -3.4030851685875652E-01 a        44     0     3     1     4
 -3.6157018132149206E-03 a        45     0     3     1     5
 -1.8526592187043905E-01 a        46     0     3     1     6
  9.9985270251934086E-02 a        47     0     3     1     7
  2.3772303072650891E-01 a        48     0     3     1     8
  4.6222423909757166E-03 a        49     0     3     1     9
 -2.4847658171299911E-01 a        50     0     3     1    10
 -1.2450204945640149E-01 a        51     0     3     1    11
  3.5404102963964146E-01 a        52     0     3     1    12
  6.8733778172594434E-02 a        53     0     3     1    13
 -5.9503032869697958E-01 a        54     0     3     1    14
  1.4453677794098674E-01 a        55     0     3     1    15
  1.1349419329171495E-01 a        56     0     3     1    16
 -6.5029156956905296E-02 a        57     0     3     1    17
  2.2258931034098550E-01 a        58     0     3     1    18
  1.9146478783657844E-01 a        59     0     3     1    19
 -1.7491129199098837E-01 a        60     0     3     1    20
  2.4318477465151710E-02 a        61     0     4     1     1
  1.7953115783060725E-01 a        62     0     4     1     2
  1.0127524335035891E-01 a        63     0     4     1     3
 -6.9596140284399588E-01 a        64     0     4     1     4
  1.5664042786913393E-01 a        65     0     4     1     5
  2.0796276779580827E-01 a        66     0     4     1     6
 -1.0699145323652971E-01 a        67     0     4     1     7
 -5.4904455688883869E-01 a        68     0     4     1     8
  7.6272626517343317E-02 a        69     0     4     1     9
