################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.9657165345510151E-01 a         1     0     1     1     1
 -8.8828340631108959E-03 a         2     0     1     1     2
 -2.4509783532138749E-01 a         3     0     1     1     3
 -2.8450618628101670E-01 a         4     0     1     1     4
 -1.4237761731482956E-01 a         5     0     1     1     5
 -3.0320199417641192E-01 a         6     0     1     1     6
 -1.3706236700437960E-01 a         7     0     1     1     7
  2.0443829540753189E-01 a         8     0     1     1     8
 -3.0461727355333429E-01 a         9     0     1     1     9
  5.1610187026480669E-01 a        10     0     1     1    10
 -2.3418544833900160E-01 a        11     0     1     1    11
  1.9321420352395774E-01 a        12     0     1     1    12
  2.0484149526168033E-02 a        13     0     1     1    13
  3.3534053291056493E-01 a        14     0     1     1    14
  2.5355060074706531E-01 a        15     0     1     1    15
  2.6623077855276234E-01 a        16     0     1     1    16
  4.0639517286971116E-01 a        17     0     1     1    17
 -2.0001578208996837E-01 a        18     0     1     1    18
 -7.1482817382985855E-02 a        19     0     1     1    19
  2.2255138935818811E-01 a        20     0     1     1    20
  5.2026771917195590E-02 a        21     0     2     1     1
 -3.3620952856950154E-01 a        22     0     2     1     2
 -3.8922071027312502E-02 a        23     0     2     1     3
 -4.8218616419350274E-01 a        24     0     2     1     4
 -1.4231243215766348E-01 a        25     0     2     1     5
 -2.0632623862602764E-01 a        26     0     2     1     6
  1.8380175918546141E-01 a        27     0     2     1     7
  3.4894484504447203E-02 a        28     0     2     1     8
  3.9168714558864809E-02 a        29     0     2     1     9
  1.5415909072332976E-01 a        30     0     2     1    10
 -5.6266403864313405E-02 a        31     0     2     1    11
  1.0811183023547735E-01 a        32     0     2     1    12
  4.6283894098866574E-02 a        33     0     2     1    13
  9.4990006315371314E-02 a        34     0     2     1    14
  2.0345986254375381E-01 a        35     0     2     1    15
  9.5365974975541334E-02 a        36     0     2     1    16
  2.9642666942515311E-01 a        37     0     2     1    17
 -2.4451163553164865E-01 a        38     0     2     1    18
  4.2708338273306790E-01 a        39     0     2     1    19
  2.9641497317296828E-01 a        40     0     2     1    20
  3.2759079449004230E-01 a        41     0     3     1     1
 -2.6036834224139394E-01 a        42     0     3     1     2
 -3.1303215706728443E-01 a        43     0     3     1     3
  4.1323815474300507E-01 a        44     0     3     1     4
  2.3505736549764852E-01 a        45     0     3     1     5
 -1.0502766897915383E-01 a        46     0     3     1     6
  3.3435539581090112E-01 a        47     0     3     1     7
 -1.7216928701602957E-01 a        48     0     3     1     8
  6.0055228075147543E-02 a        49     0     3     1     9
 -1.3955061943297140E-01 a        50     0     3     1    10
  1.0530965120601915E-02 a        51     0     3     1    11
  1.7519916813719044E-01 a        52     0     3     1    12
  2.2143423900002004E-01 a        53     0     3     1    13
  1.7800409122793104E-01 a        54     0     3     1    14
  9.7425803064616082E-02 a        55     0     3     1    15
 -1.2141075717313354E-01 a        56     0     3     1    16
  2.0276418277251660E-02 a        57     0     3     1    17
  9.3776604034053468E-02 a        58     0     3     1    18
  4.1285625569634532E-01 a        59     0     3     1    19
  3.0830020278643006E-01 a        60     0     3     1    20
  5.6391637776335636E-02 a        61     0     4     1     1
  7.1799841758664260E-02 a        62     0     4     1     2
 -4.2878629426132554E-02 a        63     0     4     1     3
  4.1743044474289676E-01 a        64     0     4     1     4
 -3.5971348345731407E-03 a        65     0     4     1     5
  2.8014080220178306E-01 a        66     0     4     1     6
  2.5683567165249555E-02 a        67     0     4     1     7
 -4.3993006712432436E-01 a        68     0     4     1     8
  8.8144878951916056E-02 a        69     0     4     1     9
  9.2060727772545925E-02 a        70     0     4     1    10
  5.5966467011270704E-01 a        71     0     4     1    11
  6.4110135955880776E-01 a        72     0     4     1    12
 -4.5429611178795498E-01 a        73     0     4     1    13
 -1.7316618666923533E-01 a        74     0     4     1    14
 -1.7308721782260730E-01 a        75     0     4     1    15
 -5.8877144798951730E-01 a        76     0     4     1    16
 -1.0978763122609850E-01 a        77     0     4     1    17
 -3.0464344295562507E-01 a        78     0     4     1    18
 -7.3719587250391905E-02 a        79     0     4     1    19
 -1.3270220886172246E-01 a        80     0     4     1    20
 -3.8698636646246642E-01 a        81     0     5     1     1
 -1.3902023120176329E-01 a        82     0     5     1     2
 -2.5145005518394764E-01 a        83     0     5     1     3
 -2.9483105969344486E-01 a        84     0     5     1     4
  1.1289393935972023E+00 a        85     0     5     1     5
  2.8074373454134238E-01 a        86     0     5     1     6
  1.7145686677674754E-01 a        87     0     5     1     7
  3.8596436606342148E-02 a        88     0     5     1     8
 -1.8978880119921413E-02 a        89     0     5     1     9
 -3.0292172892955344E-01 a        90     0     5     1    10
  2.6136030158879955E-02 a        91     0     5     1    11
  1.0235315640713716E-01 a        92     0     5     1    12
  6.6295509943453346E-01 a        93     0     5     1    13
 -2.4774845062949946E-01 a        94     0     5     1    14
 -4.4274889098345493E-01 a        95     0     5     1    15
 -5.5760030447918962E-01 a        96     0     5     1    16
 -1.2917725665510302E-01 a        97     0     5     1    17
  3.5196498568069101E-01 a        98     0     5     1    18
  1.9069504678717129E-02 a        99     0     5     1    19
  3.8440405482680429E-01 a       100     0     5     1    20
  1.1404169554881612E-01 a       101     0     6     1     1
  2.6018428747385886E-01 a       102     0     6     1     2
  2.6475154783842370E-01 a       103     0     6     1     3
  5.1160475838125496E-01 a       104     0     6     1     4
  3.1029365904352046E-01 a       105     0     6     1     5
  5.1127016166469896E-01 a       106     0     6     1     6
  6.9119379147935323E-01 a       107     0     6     1     7
 -4.8116862436155855E-01 a       108     0     6     1     8
  2.7400403393473260E-01 a       109     0     6     1     9
  6.4743851434359581E-02 a       110     0     6     1    10
  6.0255836851761435E-01 a       111     0     6     1    11
  4.2206113132313150E-02 a       112     0     6     1    12
 -3.8292794419279419E-01 a       113     0     6     1    13
 -3.7766554783444251E-01 a       114     0     6     1    14
 -1.8893703526155384E-01 a       115     0     6     1    15
 -6.0314593736571076E-01 a       116     0     6     1    16
  7.8332040231415240E-02 a       117     0     6     1    17
  4.0928715295807747E-03 a       118     0     6     1    18
 -2.5820407387603916E-01 a       119     0     6     1    19
 -4.6614587611864811E-01 a       120     0     6     1    20
 -1.2128476048697751E-01 a       121     0     7     1     1
 -3.5727568224446216E-01 a       122     0     7     1     2
  1.0420414751443677E-01 a       123     0     7     1     3
 -3.2912704496836481E-01 a       124     0     7     1     4
 -4.2396638998106156E-01 a       125     0     7     1     5
  1.2701968768515667E-01 a       126     0     7     1     6
 -2.0131148124838091E-01 a       127     0     7     1     7
  5.3816966074217276E-01 a       128     0     7     1     8
 -5.5840298790700649E-01 a       129     0     7     1     9
  3.6810722968181958E-01 a       130     0     7     1    10
 -5.1347384616930314E-01 a       131     0     7     1    11
 -2.3149061626215373E-01 a       132     0     7     1    12
  5.9939646414879089E-01 a       133     0     7     1    13
  1.5490069786489663E-01 a       134     0     7     1    14
  7.4728361936072463E-01 a       135     0     7     1    15
 -3.4669833910379089E-01 a       136     0     7     1    16
  1.5388965631021903E-01 a       137     0     7     1    17
  3.2464326916969122E-01 a       138     0     7     1    18
  3.1497676072776820E-01 a       139     0     7     1    19
 -6.7799742166600577E-02 a       140     0     7     1    20
  3.4256401025510880E-01 a       141     0     8     1     1
 -6.4747286384174402E-02 a       142     0     8     1     2
  5.1439129427245352E-03 a       143     0     8     1     3
 -1.7975295822860241E-01 a       144     0     8     1     4
  1.7646363993721398E-01 a       145     0     8     1     5
 -4.8176450325166276E-01 a       146     0     8     1     6
  3.0381176931502590E-02 a       147     0     8     1     7
