################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.8608365413434966E-02 a         1     0     1     1     1
  1.7683735380503932E-01 a         2     0     1     1     2
  2.1321091686530338E-01 a         3     0     1     1     3
 -1.4685157322288417E-01 a         4     0     1     1     4
 -2.0499259040395912E-01 a         5     0     1     1     5
 -1.7360658847728469E-01 a         6     0     1     1     6
  4.0461139315900069E-01 a         7     0     1     1     7
  2.6067660830343753E-01 a         8     0     1     1     8
  6.1995632243976445E-02 a         9     0     1     1     9
  6.9599156937591578E-01 a        10     0     1     1    10
  6.2452936824824523E-01 a        11     0     1     1    11
  9.9613684221681931E-02 a        12     0     1     1    12
 -4.6159193694322065E-01 a        13     0     1     1    13
  4.4530585355271829E-01 a        14     0     1     1    14
  9.6090814590000670E-02 a        15     0     1     1    15
  1.6199681848992803E-01 a        16     0     1     1    16
  1.3166524234692489E-01 a        17     0     1     1    17
  7.5728611397920337E-02 a        18     0     1     1    18
 -1.0492188745760019E-01 a        19     0     1     1    19
  1.6867232149766560E-02 a        20     0     1     1    20
 -2.8171617486333778E-01 a        21     0     2     1     1
  1.1933751996711288E-02 a        22     0     2     1     2
  3.1685583509783649E-02 a        23     0     2     1     3
 -4.8701497825857759E-01 a        24     0     2     1     4
  4.0767006274237638E-01 a        25     0     2     1     5
 -4.1292536435809618E-01 a        26     0     2     1     6
 -1.1841228551708997E-01 a        27     0     2     1     7
 -3.5284520067124897E-01 a        28     0     2     1     8
  3.6317323173584248E-01 a        29     0     2     1     9
 -3.2891012406286828E-02 a        30     0     2     1    10
 -3.0582362149067302E-02 a        31     0     2     1    11
  9.3558863733657661E-03 a        32     0     2     1    12
 -6.2322052094042846E-02 a        33     0     2     1    13
  9.8247236758228607E-02 a        34     0     2     1    14
  1.4731583436211354E-01 a        35     0     2     1    15
 -1.0245383172895678E-01 a        36     0     2     1    16
  1.3720466085776692E-01 a        37     0     2     1    17
 -4.3966769224152331E-02 a        38     0     2     1    18
  4.9604635545089953E-01 a        39     0     2     1    19
  9.4568191853822512E-03 a        40     0     2     1    20
 -4.2315910290174752E-01 a        41     0     3     1     1
 -1.6412633740059887E-01 a        42     0     3     1     2
  2.4547559007407857E-01 a        43     0     3     1     3
  6.4389204323898677E-02 a        44     0     3     1     4
 -2.6878291373044699E-01 a        45     0     3     1     5
  5.3141933561355867E-02 a        46     0     3     1     6
 -1.8021851690000429E-01 a        47     0     3     1     7
 -3.1609205249187686E-02 a        48     0     3     1     8
 -1.4405390205108137E-01 a        49     0     3     1     9
 -5.3980181675384964E-01 a        50     0     3     1    10
 -2.4265440287873302E-01 a        51     0     3     1    11
  1.6982476433157376E-01 a        52     0     3     1    12
  1.7956513840668037E-01 a        53     0     3     1    13
  2.3411645308827175E-01 a        54     0     3     1    14
 -3.3219665747444488E-01 a        55     0     3     1    15
 -1.3799107890185982E-02 a        56     0     3     1    16
 -9.7541694392624154E-02 a        57     0     3     1    17
 -2.5776620665827760E-01 a        58     0     3     1    18
  2.6853404005420946E-02 a        59     0     3     1    19
 -3.8062668005719841E-01 a        60     0     3     1    20
  2.9911511907941501E-01 a        61     0     4     1     1
  2.5082284833181467E-01 a        62     0     4     1     2
  1.1602838561139715E-01 a        63     0     4     1     3
  4.1804599105888374E-01 a        64     0     4     1     4
  5.4356109060406513E-02 a        65     0     4     1     5
 -4.0418580174785675E-02 a        66     0     4     1     6
 -3.5700838107303218E-01 a        67     0     4     1     7
 -2.2588821465114028E-01 a        68     0     4     1     8
  2.6991787124985522E-01 a        69     0     4     1     9
 -2.7883065602209312E-01 a        70     0     4     1    10
 -3.4092097534757121E-01 a        71     0     4     1    11
 -1.2832761468031462E-01 a        72     0     4     1    12
  2.9972352103769612E-01 a        73     0     4     1    13
 -1.3444093802319043E-01 a        74     0     4     1    14
 -9.7962041646748599E-02 a        75     0     4     1    15
 -2.4244558626035443E-04 a        76     0     4     1    16
 -7.5868830288635211E-02 a        77     0     4     1    17
  1.8700461361108870E-02 a        78     0     4     1    18
  2.3667960978339719E-01 a        79     0     4     1    19
 -3.9793460332492619E-02 a        80     0     4     1    20
 -1.7319203779258344E-01 a        81     0     5     1     1
  5.3963693931593004E-01 a        82     0     5     1     2
 -3.8917516699191662E-01 a        83     0     5     1     3
  7.0862188996176223E-01 a        84     0     5     1     4
 -2.4519318900852036E-01 a        85     0     5     1     5
  1.5703759281980834E-01 a        86     0     5     1     6
  3.9160229963853328E-02 a        87     0     5     1     7
  3.8208827449591037E-01 a        88     0     5     1     8
 -3.0177625344571241E-01 a        89     0     5     1     9
 -1.7264567551316459E-01 a        90     0     5     1    10
 -2.5402058721231069E-01 a        91     0     5     1    11
 -4.6344190741642272E-01 a        92     0     5     1    12
 -1.5081045027173887E-01 a        93     0     5     1    13
 -1.2258840960182887E-01 a        94     0     5     1    14
  3.4298671735781017E-01 a        95     0     5     1    15
  5.5724387201240411E-01 a        96     0     5     1    16
 -2.1978483967709170E-01 a        97     0     5     1    17
 -1.0203920435874543E+00 a        98     0     5     1    18
 -1.9393529177745172E-02 a        99     0     5     1    19
  1.9569735140096767E-01 a       100     0     5     1    20
  3.2396446907170623E-01 a       101     0     6     1     1
  4.6671054165454662E-01 a       102     0     6     1     2
 -1.7766183661787738E-01 a       103     0     6     1     3
  7.1816841109694041E-01 a       104     0     6     1     4
  3.8330207930838703E-02 a       105     0     6     1     5
