################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0834915968948197E-02 a         1     0     1     1     1
  5.1349444322956994E-01 a         2     0     1     1     2
 -4.0377480086798107E-01 a         3     0     1     1     3
 -6.2612093387140633E-01 a         4     0     1     1     4
  3.6333893482501706E-01 a         5     0     1     1     5
 -3.9922140543304913E-01 a         6     0     1     1     6
 -3.9290532561709696E-01 a         7     0     1     1     7
 -3.1114264128245855E-01 a         8     0     1     1     8
  4.2221336950463859E-02 a         9     0     1     1     9
  1.1071887783015949E-01 a        10     0     1     1    10
  3.4482856909778459E-01 a        11     0     1     1    11
  2.8140192461176161E-01 a        12     0     1     1    12
  1.4019674049246414E-01 a        13     0     1     1    13
 -9.3040320037254681E-03 a        14     0     1     1    14
 -7.6925893974341200E-02 a        15     0     1     1    15
  5.6092328193076135E-01 a        16     0     1     1    16
 -7.2180910654388447E-02 a        17     0     1     1    17
  3.3000872465094222E-01 a        18     0     1     1    18
  2.9892728636097393E-01 a        19     0     1     1    19
 -2.2264482603504168E-01 a        20     0     1     1    20
 -1.3292285741748422E-01 a        21     0     2     1     1
  7.9430979720107278E-02 a        22     0     2     1     2
 -1.4672414200393499E-01 a        23     0     2     1     3
  3.6227033021585163E-02 a        24     0     2     1     4
  1.2513595567829280E-01 a        25     0     2     1     5
  2.0830711882040204E-01 a        26     0     2     1     6
 -1.1728441806695480E-01 a        27     0     2     1     7
 -2.0756782429575346E-01 a        28     0     2     1     8
 -9.0855343170308481E-02 a        29     0     2     1     9
 -3.2985766178516929E-01 a        30     0     2     1    10
 -1.9401753294690566E-01 a        31     0     2     1    11
 -3.7764059323733989E-01 a        32     0     2     1    12
 -4.1273154342585888E-01 a        33     0     2     1    13
 -3.7902235495361680E-01 a        34     0     2     1    14
 -2.9269128374518544E-01 a        35     0     2     1    15
  1.8451172114498721E-01 a        36     0     2     1    16
 -2.5407324597826969E-01 a        37     0     2     1    17
  1.4157112786282403E-01 a        38     0     2     1    18
 -1.8690279716473712E-01 a        39     0     2     1    19
  9.0081962127737114E-02 a        40     0     2     1    20
 -2.5202974636594141E-02 a        41     0     3     1     1
  3.4737096677121576E-01 a        42     0     3     1     2
  9.7055361013724639E-02 a        43     0     3     1     3
  1.8037899929608942E-01 a        44     0     3     1     4
 -1.5911154493185464E-01 a        45     0     3     1     5
 -1.4625758070133996E-01 a        46     0     3     1     6
  1.9373817440417129E-01 a        47     0     3     1     7
  1.8160230875251221E-01 a        48     0     3     1     8
  1.2360248932438464E-01 a        49     0     3     1     9
  1.0960458976908784E-01 a        50     0     3     1    10
 -3.5129311992142746E-02 a        51     0     3     1    11
 -6.4810404652557649E-02 a        52     0     3     1    12
  1.6330392067219351E-02 a        53     0     3     1    13
  7.1815070222654792E-02 a        54     0     3     1    14
  3.8346092237207391E-02 a        55     0     3     1    15
 -1.2161468161349706E-01 a        56     0     3     1    16
 -5.4438620422082348E-02 a        57     0     3     1    17
  4.2615857796900636E-02 a        58     0     3     1    18
 -4.4680491963513577E-02 a        59     0     3     1    19
  2.2608645838126187E-01 a        60     0     3     1    20
 -3.9586457139462067E-01 a        61     0     4     1     1
 -1.2219638917662268E-01 a        62     0     4     1     2
  2.9155153484409790E-01 a        63     0     4     1     3
  1.6539674649016584E-01 a        64     0     4     1     4
 -3.3082213155958762E-01 a        65     0     4     1     5
 -6.3926514219809855E-02 a        66     0     4     1     6
  1.9173051609392430E-01 a        67     0     4     1     7
 -2.9611541055740181E-01 a        68     0     4     1     8
 -2.2133618871016399E-02 a        69     0     4     1     9
  8.6790172679349943E-03 a        70     0     4     1    10
 -4.6624553619787629E-01 a        71     0     4     1    11
 -5.3964250293492777E-02 a        72     0     4     1    12
