################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0358645842532813E-02   2.0502753229061565E-01   1.2287426872971154E-01   1.2182211628646791E-02
         1          2   3.8033584803114522E-02   1.9843485358651136E-01   1.1900027943186411E-01   1.1933811527702008E-02
         1          3   3.3335454613013259E-02   1.8691987757392933E-01   1.1085641075783760E-01   1.1461736042361562E-02
         1          4   2.7354227983611503E-02   1.7715221119931901E-01   9.9742845444829753E-02   1.0900100561220063E-02
         1          5   3.3976600684350365E-03   5.8944839967330458E-02   2.2668473088125238E-02   3.8207033396521926E-03
         1          6   1.5115587190682426E-02   1.5080642558217686E-01   7.2934604901334632E-02   9.6530189923005293E-03
         1          7   2.8426490652274218E-04   1.7616806640585802E-02   4.2651505076537729E-03   1.0840076138082331E-03
         1          8   1.8855197103169671E-06   1.5735841661898180E-03   1.5557219242854750E-04   6.8292649770131542E-05
         1          9   5.0565546830039484E-02   6.1784605882791943E-01   1.9312637524550433E-01   6.2563145445993465E-02
         1         10   4.4046602699219208E-02   5.7808944519808181E-01   1.7288271638983374E-01   5.6166830566722024E-02
         1         11   3.2536652806271521E-02   5.0045606885981975E-01   1.3615845651050212E-01   4.4527709972357180E-02
         1         12   2.0496640856004257E-02   4.0645698353519072E-01   9.6784541706695940E-02   3.2037843603219297E-02
         1         13   6.4553885491769086E-04   8.4096529024456065E-02   6.8937495943679674E-03   2.9808760257472146E-03
         1         14   5.1362886002070231E-03   2.3476434973999735E-01   3.8097035186668307E-02   1.3750051109917866E-02
         1         15   7.2247397233213938E-06   2.3186233277804717E-02   3.5842839099838465E-04   3.8762848385835529E-04
         1         16   2.8655329382224037E-01   4.2823417348476500E+00   2.2488223590555303E+00   6.2581389893305983E-01
         1         17   3.5699082862581144E-01   2.3893852686515817E+00   1.3268026031139770E+00   3.0949858599955482E-01
         1         18   2.4253583906212917E-01   3.2390902211211126E+00   1.6670206086269932E+00   4.5575493975575543E-01
         1         19   3.3542904629093495E-01   1.8321570654269219E+00   1.0351162590518115E+00   2.2645546675739806E-01
         1         20   1.8503709795923420E-01   1.9282750408119291E+00   9.5631011906323238E-01   2.5851179476380332E-01
         1         21   2.8986050983056133E-01   1.1378224667342391E+00   6.7841840622400051E-01   1.3075214356036208E-01
         1         22   1.2998738560021622E-01   1.0888481433286117E+00   4.9973890300414853E-01   1.3772350098883798E-01
         1         23   2.3854599156072026E-01   7.3333132451787553E-01   4.4743417724641155E-01   7.3447181706993020E-02
         1         24   3.7582706215799405E-03   1.1938996442820581E-01   2.0272151012895843E-02   6.8005484844627833E-03
         1         25   2.6264315854344893E-02   1.1026631072011876E-01   6.6887343806133426E-02   6.9062902474875615E-03
