################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.2221380262445827E-01 a         1     0     1     1     1
 -1.7867996017312490E-01 a         2     0     1     1     2
 -2.7432175424867855E-01 a         3     0     1     1     3
 -2.1043499103131646E-02 a         4     0     1     1     4
 -1.4683635604055226E-01 a         5     0     1     1     5
 -1.4744260057267197E-01 a         6     0     1     1     6
  6.4766579656870615E-01 a         7     0     1     1     7
 -1.2389399927411264E-01 a         8     0     1     1     8
 -5.8372733786654453E-02 a         9     0     1     1     9
 -3.9888662934381031E-01 a        10     0     1     1    10
  6.3450791085246691E-02 a        11     0     1     1    11
  4.5720394126244651E-02 a        12     0     1     1    12
 -4.4847792691267430E-02 a        13     0     1     1    13
  8.8088535940329879E-02 a        14     0     1     1    14
 -1.0223898219375056E-01 a        15     0     1     1    15
 -4.0139771028989607E-01 a        16     0     1     1    16
  7.1531797989777129E-02 a        17     0     1     1    17
 -3.2891788255058174E-01 a        18     0     1     1    18
 -5.0605664915144077E-01 a        19     0     1     1    19
 -2.3395216651990017E-01 a        20     0     1     1    20
  1.4874065315557036E-01 a        21     0     2     1     1
 -4.1628052487588546E-01 a        22     0     2     1     2
 -4.1651838363832129E-03 a        23     0     2     1     3
  3.0815151848425487E-01 a        24     0     2     1     4
 -3.8936992757731471E-02 a        25     0     2     1     5
 -7.5024024826792018E-02 a        26     0     2     1     6
  5.8737078014526167E-01 a        27     0     2     1     7
 -1.9934976433066467E-01 a        28     0     2     1     8
  2.0016093305746582E-01 a        29     0     2     1     9
 -2.0747972082699423E-01 a        30     0     2     1    10
 -1.3278875303442678E-01 a        31     0     2     1    11
  5.1320152488620396E-01 a        32     0     2     1    12
 -2.4103863300789341E-02 a        33     0     2     1    13
 -3.2638137801068851E-01 a        34     0     2     1    14
 -1.2984192191531893E-01 a        35     0     2     1    15
 -3.2890061795619246E-01 a        36     0     2     1    16
 -3.9744272201903014E-01 a        37     0     2     1    17
 -1.2305748333622757E-01 a        38     0     2     1    18
 -2.1427565513916505E-01 a        39     0     2     1    19
 -1.2878905838758298E-01 a        40     0     2     1    20
 -2.7742132622794635E-02 a        41     0     3     1     1
  2.7633189595777552E-01 a        42     0     3     1     2
  2.3165968922329958E-01 a        43     0     3     1     3
  2.3362608947101751E-01 a        44     0     3     1     4
 -2.0723407027835350E-01 a        45     0     3     1     5
  3.5977181760971921E-01 a        46     0     3     1     6
  3.0289911077061343E-01 a        47     0     3     1     7
  2.7095300950570006E-01 a        48     0     3     1     8
  2.6129853101238459E-01 a        49     0     3     1     9
  4.1338787919366193E-01 a        50     0     3     1    10
  1.5481323904867783E-01 a        51     0     3     1    11
  3.7615632883318796E-02 a        52     0     3     1    12
 -3.3447641875135364E-01 a        53     0     3     1    13
 -3.5930387908717404E-01 a        54     0     3     1    14
  1.1755078701193140E-02 a        55     0     3     1    15
 -3.1722452162010378E-01 a        56     0     3     1    16
  3.6293088186302759E-03 a        57     0     3     1    17
  5.4117258896144305E-01 a        58     0     3     1    18
  1.2629850514942786E-01 a        59     0     3     1    19
  3.3035223888469495E-02 a        60     0     3     1    20
 -4.1383459049721044E-01 a        61     0     4     1     1
  3.3662363531165390E-01 a        62     0     4     1     2
  1.8976587433823780E-01 a        63     0     4     1     3
 -9.4620910945474340E-02 a        64     0     4     1     4
 -2.2557569352103340E-01 a        65     0     4     1     5
 -1.4857767271574929E-01 a        66     0     4     1     6
 -6.0002353242904427E-01 a        67     0     4     1     7
  3.8847045693994986E-01 a        68     0     4     1     8
 -1.1642005545154202E-02 a        69     0     4     1     9
  1.1761233105187369E-01 a        70     0     4     1    10
  8.6212573539489940E-02 a        71     0     4     1    11
  1.3865773442757259E-01 a        72     0     4     1    12
 -1.8435290136199836E-02 a        73     0     4     1    13
  8.4927846282321279E-02 a        74     0     4     1    14
  7.8596738228820226E-02 a        75     0     4     1    15
  9.7042134396020191E-02 a        76     0     4     1    16
 -3.2808119533973105E-02 a        77     0     4     1    17
  4.3225800289607230E-01 a        78     0     4     1    18
  2.4945831019987055E-02 a        79     0     4     1    19
  2.6143092094874493E-01 a        80     0     4     1    20
 -4.1627849732790007E-01 a        81     0     5     1     1
  2.0234623231955812E-01 a        82     0     5     1     2
  1.9456302994363342E-01 a        83     0     5     1     3
  9.7389745382638213E-02 a        84     0     5     1     4
  6.3780156655124520E-01 a        85     0     5     1     5
  1.6712934055699799E-01 a        86     0     5     1     6
 -2.2128933993345146E-01 a        87     0     5     1     7
 -1.5570996244378094E-01 a        88     0     5     1     8
  1.6488576693972729E-01 a        89     0     5     1     9
 -5.2730952618690974E-01 a        90     0     5     1    10
 -3.9652899788616490E-02 a        91     0     5     1    11
 -5.2468305745957367E-01 a        92     0     5     1    12
  2.7796850791100930E-01 a        93     0     5     1    13
  4.4375818053670346E-01 a        94     0     5     1    14
 -8.1489440200829006E-03 a        95     0     5     1    15
  8.4314622155666444E-02 a        96     0     5     1    16
 -3.0788107882110294E-01 a        97     0     5     1    17
 -2.2041272062836034E-01 a        98     0     5     1    18
  2.9123858931661306E-01 a        99     0     5     1    19
 -3.9312418103435920E-01 a       100     0     5     1    20
 -1.1746361870117833E-01 a       101     0     6     1     1
 -4.6367394867591429E-02 a       102     0     6     1     2
