################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3365064111197894E-01 a         1     0     1     1     1
 -2.0718730292023105E-02 a         2     0     1     1     2
  5.4901239719237958E-02 a         3     0     1     1     3
 -1.6941923586366114E-01 a         4     0     1     1     4
  1.2557796825325726E-01 a         5     0     1     1     5
  7.0743754109470480E-02 a         6     0     1     1     6
  1.6532169987119316E-01 a         7     0     1     1     7
 -3.4782473147465875E-01 a         8     0     1     1     8
 -4.7448675954845372E-02 a         9     0     1     1     9
  2.7564967516959998E-01 a        10     0     1     1    10
 -9.0186881429833457E-02 a        11     0     1     1    11
  2.5779703289036653E-03 a        12     0     1     1    12
 -3.0509851905940338E-01 a        13     0     1     1    13
  1.3592390187506767E-01 a        14     0     1     1    14
  2.4499872283577781E-01 a        15     0     1     1    15
 -1.3560371085700271E-01 a        16     0     1     1    16
  1.9573241085182355E-01 a        17     0     1     1    17
 -1.5327324799475986E-01 a        18     0     1     1    18
 -1.4380406559300084E-02 a        19     0     1     1    19
 -8.6799552646300043E-02 a        20     0     1     1    20
 -5.6823236031824986E-02 a        21     0     2     1     1
  1.3769947845986091E-01 a        22     0     2     1     2
 -1.0116098727963115E-01 a        23     0     2     1     3
  1.0409685428154981E-01 a        24     0     2     1     4
 -4.0882318955771224E-01 a        25     0     2     1     5
  2.4031650862568321E-01 a        26     0     2     1     6
  2.2244861121033413E-01 a        27     0     2     1     7
  4.6341342512101466E-02 a        28     0     2     1     8
 -2.5216803383708253E-01 a        29     0     2     1     9
 -1.4533229024128952E-01 a        30     0     2     1    10
 -3.0864011696066074E-01 a        31     0     2     1    11
  2.4177099316657369E-01 a        32     0     2     1    12
 -4.2674943297905658E-02 a        33     0     2     1    13
  1.0415152743444411E-02 a        34     0     2     1    14
  1.9988758998867953E-01 a        35     0     2     1    15
 -9.3774966088965697E-02 a        36     0     2     1    16
  1.6950698425289187E-01 a        37     0     2     1    17
 -3.7645984155252998E-01 a        38     0     2     1    18
  4.3596132530810366E-01 a        39     0     2     1    19
  2.9939081670527895E-01 a        40     0     2     1    20
  1.0683126215318448E-01 a        41     0     3     1     1
  1.7264084582941600E-01 a        42     0     3     1     2
  2.5874817739378142E-01 a        43     0     3     1     3
  1.5632624934337774E-01 a        44     0     3     1     4
 -2.8333506406316659E-02 a        45     0     3     1     5
 -7.3474518864656196E-02 a        46     0     3     1     6
  2.7033565530408993E-01 a        47     0     3     1     7
 -2.0388401197723249E-01 a        48     0     3     1     8
  1.6616354029067007E-01 a        49     0     3     1     9
  2.9400136389453430E-01 a        50     0     3     1    10
  3.6951193890308326E-01 a        51     0     3     1    11
 -4.3916167300096003E-02 a        52     0     3     1    12
  5.0081493479801863E-02 a        53     0     3     1    13
 -3.9629270756374173E-02 a        54     0     3     1    14
  1.1507681436528902E-01 a        55     0     3     1    15
  2.0900474663530516E-01 a        56     0     3     1    16
  1.0970401103305963E-01 a        57     0     3     1    17
 -1.5511339388636924E-01 a        58     0     3     1    18
 -2.0454247764762571E-02 a        59     0     3     1    19
  2.9237936574536584E-02 a        60     0     3     1    20
  4.0598290951762211E-01 a        61     0     4     1     1
