################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.7409164490739955E-01 a         1     0     1     1     1
  3.8397940720959928E-01 a         2     0     1     1     2
  2.9296891664482377E-01 a         3     0     1     1     3
  5.8413858208064606E-01 a         4     0     1     1     4
 -5.6553290939470890E-01 a         5     0     1     1     5
 -4.3550976895759036E-01 a         6     0     1     1     6
 -1.2946837895081673E-02 a         7     0     1     1     7
 -5.7320592405887348E-02 a         8     0     1     1     8
  1.1438064248754701E-01 a         9     0     1     1     9
  4.8103781390826506E-01 a        10     0     1     1    10
 -1.8887200911509733E-01 a        11     0     1     1    11
  1.2995630067256603E-01 a        12     0     1     1    12
  2.6973577260680226E-01 a        13     0     1     1    13
  1.4680386681299565E-01 a        14     0     1     1    14
  4.0368795395106898E-02 a        15     0     1     1    15
 -7.5167772671037636E-02 a        16     0     1     1    16
  1.2410618405392192E-01 a        17     0     1     1    17
 -2.2502327874793646E-01 a        18     0     1     1    18
  1.5539957019206788E-01 a        19     0     1     1    19
  8.7657064569034202E-02 a        20     0     1     1    20
 -2.5482729940055647E-02 a        21     0     2     1     1
 -7.5159236610953348E-02 a        22     0     2     1     2
 -1.4236710112755124E-01 a        23     0     2     1     3
  9.9623225681749333E-02 a        24     0     2     1     4
  4.4041400837334446E-02 a        25     0     2     1     5
 -1.0584051005932604E-01 a        26     0     2     1     6
 -2.8543144962223393E-01 a        27     0     2     1     7
 -2.4167297230997906E-01 a        28     0     2     1     8
  1.2071004986640382E-01 a        29     0     2     1     9
  1.6335060856548404E-02 a        30     0     2     1    10
 -5.5063608263359966E-02 a        31     0     2     1    11
  5.1390997045864521E-02 a        32     0     2     1    12
 -2.7248644745811644E-02 a        33     0     2     1    13
  6.1671308733880707E-02 a        34     0     2     1    14
 -1.8141862374234047E-01 a        35     0     2     1    15
  5.1116862186020885E-02 a        36     0     2     1    16
  2.5111279307804851E-01 a        37     0     2     1    17
 -2.8723869827584825E-01 a        38     0     2     1    18
  8.1120205841139575E-04 a        39     0     2     1    19
 -7.8161852438397530E-02 a        40     0     2     1    20
 -6.3202740943019281E-02 a        41     0     3     1     1
 -1.3658515910731661E-01 a        42     0     3     1     2
 -2.2122988675618246E-01 a        43     0     3     1     3
  7.3633703661029323E-02 a        44     0     3     1     4
  7.6370948574712591E-02 a        45     0     3     1     5
  1.2933654543339031E-02 a        46     0     3     1     6
  2.3586062462209056E-01 a        47     0     3     1     7
