################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1947739324085271E-01 a         1     0     1     1     1
 -1.6765713373649835E-01 a         2     0     1     1     2
  2.7062821917402191E-01 a         3     0     1     1     3
 -3.4052468600758744E-02 a         4     0     1     1     4
  8.1340240378062950E-02 a         5     0     1     1     5
  2.4404520304971122E-01 a         6     0     1     1     6
  5.2559295173684695E-01 a         7     0     1     1     7
 -9.1741152370077628E-02 a         8     0     1     1     8
 -1.8280648491111459E-01 a         9     0     1     1     9
 -9.4100950136189021E-02 a        10     0     1     1    10
  2.7564551627428435E-01 a        11     0     1     1    11
  3.5109071097525096E-01 a        12     0     1     1    12
 -1.8665864518883277E-01 a        13     0     1     1    13
  6.3123958728764362E-02 a        14     0     1     1    14
 -2.7091730801756103E-01 a        15     0     1     1    15
  3.4733868910874804E-01 a        16     0     1     1    16
 -1.2683629984271794E-01 a        17     0     1     1    17
  2.9750885415931183E-01 a        18     0     1     1    18
  2.1936951335972141E-01 a        19     0     1     1    19
  1.8262040284145003E-02 a        20     0     1     1    20
 -1.0859330307819693E-03 a        21     0     2     1     1
  8.3864382791418723E-02 a        22     0     2     1     2
 -3.5500414631589494E-01 a        23     0     2     1     3
 -2.5488656792301378E-01 a        24     0     2     1     4
  9.6744225129660730E-02 a        25     0     2     1     5
  2.1335267253414519E-01 a        26     0     2     1     6
  4.0677316764028726E-01 a        27     0     2     1     7
  2.1530165366715273E-01 a        28     0     2     1     8
 -6.4242828445274158E-03 a        29     0     2     1     9
  6.4152049068255071E-02 a        30     0     2     1    10
 -1.8107705433290572E-01 a        31     0     2     1    11
  8.1369483877223231E-02 a        32     0     2     1    12
 -1.9701705812560588E-01 a        33     0     2     1    13
  1.2960437892819432E-01 a        34     0     2     1    14
  1.6059585648391875E-01 a        35     0     2     1    15
  9.8148776615118241E-02 a        36     0     2     1    16
 -2.7486928678628231E-01 a        37     0     2     1    17
 -9.9539397546617989E-02 a        38     0     2     1    18
  4.4004453871983151E-01 a        39     0     2     1    19
 -2.7119258625898318E-01 a        40     0     2     1    20
  4.6262468299535051E-02 a        41     0     3     1     1
 -1.2571502250937194E-01 a        42     0     3     1     2
 -8.0694661625964836E-02 a        43     0     3     1     3
  1.4311652400312264E-01 a        44     0     3     1     4
  2.7741702562674359E-01 a        45     0     3     1     5
 -8.2732466167721661E-02 a        46     0     3     1     6
 -1.0876063872938158E-01 a        47     0     3     1     7
  8.5560544472199004E-03 a        48     0     3     1     8
  2.6249625276307509E-01 a        49     0     3     1     9
 -9.0540101194504494E-02 a        50     0     3     1    10
  1.9805063714625820E-01 a        51     0     3     1    11
 -1.0040293575629872E-01 a        52     0     3     1    12
  8.3972384383436210E-02 a        53     0     3     1    13
 -1.4913821653412598E-01 a        54     0     3     1    14
  4.0830871570851870E-02 a        55     0     3     1    15
 -5.0610635905910778E-02 a        56     0     3     1    16
 -2.2134232258878388E-02 a        57     0     3     1    17
 -1.7985155372325690E-01 a        58     0     3     1    18
 -2.4232115434638399E-01 a        59     0     3     1    19
 -2.5792050448353965E-01 a        60     0     3     1    20
  2.8192137742083245E-01 a        61     0     4     1     1
  2.7450091088886258E-01 a        62     0     4     1     2
  1.7912425727368075E-01 a        63     0     4     1     3
