################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1954665036471047E-01 a         1     0     1     1     1
  2.1344129728796724E-01 a         2     0     1     1     2
  2.2923079162754201E-02 a         3     0     1     1     3
  8.1264480025505709E-02 a         4     0     1     1     4
 -3.1834858125781490E-01 a         5     0     1     1     5
 -1.7637168831968161E-01 a         6     0     1     1     6
  2.1885320347257672E-01 a         7     0     1     1     7
 -8.5507494972819995E-02 a         8     0     1     1     8
  1.4241086628335223E-01 a         9     0     1     1     9
  3.7214558829311517E-01 a        10     0     1     1    10
 -8.1396214491259500E-02 a        11     0     1     1    11
 -1.2836879233647397E-01 a        12     0     1     1    12
 -2.9177209671658638E-01 a        13     0     1     1    13
  2.0364011272944657E-01 a        14     0     1     1    14
 -7.0664829239084695E-02 a        15     0     1     1    15
 -1.0159635373864008E-01 a        16     0     1     1    16
 -2.5451034910404202E-01 a        17     0     1     1    17
 -3.2784128546231239E-01 a        18     0     1     1    18
 -9.9057855373180723E-02 a        19     0     1     1    19
  1.9710645983547317E-01 a        20     0     1     1    20
  1.1186752355346352E-01 a        21     0     2     1     1
  1.2770400445519864E-01 a        22     0     2     1     2
  1.4471413285257331E-01 a        23     0     2     1     3
 -9.1480283254211190E-04 a        24     0     2     1     4
  6.1755169782668304E-02 a        25     0     2     1     5
  1.8296700039415918E-02 a        26     0     2     1     6
 -1.2652220294195347E-02 a        27     0     2     1     7
 -2.7092898421652706E-01 a        28     0     2     1     8
 -3.1925128835270877E-02 a        29     0     2     1     9
  2.2421480903227692E-01 a        30     0     2     1    10
 -4.8353208158925465E-01 a        31     0     2     1    11
 -3.3417264595017265E-01 a        32     0     2     1    12
  1.5659818610907553E-01 a        33     0     2     1    13
  2.2525359584964050E-01 a        34     0     2     1    14
 -3.4060889368831937E-01 a        35     0     2     1    15
  6.2634924963208480E-02 a        36     0     2     1    16
  1.8437491407158943E-01 a        37     0     2     1    17
 -5.5962231645166283E-01 a        38     0     2     1    18
  2.1159988179466949E-01 a        39     0     2     1    19
  3.9485974957739411E-01 a        40     0     2     1    20
 -1.9947830870425171E-01 a        41     0     3     1     1
 -2.4103690397603114E-01 a        42     0     3     1     2
 -3.4006080599355593E-01 a        43     0     3     1     3
 -1.4221880075331273E-02 a        44     0     3     1     4
 -3.2571915139529961E-01 a        45     0     3     1     5
  2.8349493650596003E-01 a        46     0     3     1     6
 -6.5132540033458709E-03 a        47     0     3     1     7
 -9.6113239003307788E-02 a        48     0     3     1     8
  1.4180222152230718E-01 a        49     0     3     1     9
 -3.6843095735177128E-01 a        50     0     3     1    10
  2.4873330938238281E-01 a        51     0     3     1    11
  2.6416850597443176E-01 a        52     0     3     1    12
  1.2994798773073485E-01 a        53     0     3     1    13
  1.0524402852912877E-01 a        54     0     3     1    14
 -1.4381612422204032E-01 a        55     0     3     1    15
  7.2209494896726412E-01 a        56     0     3     1    16
 -1.0839131787517450E-01 a        57     0     3     1    17
  2.7048632541021689E-01 a        58     0     3     1    18
 -1.1716594829565839E-01 a        59     0     3     1    19
 -3.4922742619740915E-01 a        60     0     3     1    20
  2.1605872501085427E-01 a        61     0     4     1     1
  2.9935072327930762E-01 a        62     0     4     1     2
  4.4883996372983292E-01 a        63     0     4     1     3
  2.6311782240336468E-02 a        64     0     4     1     4
 -2.2006756760637064E-01 a        65     0     4     1     5
  2.8163149266639815E-03 a        66     0     4     1     6
  6.5253758568138101E-02 a        67     0     4     1     7
  1.5070345825061376E-01 a        68     0     4     1     8
  1.8858849742139963E-01 a        69     0     4     1     9
 -2.4032575300793840E-01 a        70     0     4     1    10
  3.6572316527964888E-01 a        71     0     4     1    11
  2.6575213191797280E-02 a        72     0     4     1    12
 -8.2622955905105711E-02 a        73     0     4     1    13
  1.3991805018647499E-01 a        74     0     4     1    14
  6.9353499908357930E-01 a        75     0     4     1    15
  3.9956495200580788E-01 a        76     0     4     1    16
  5.1570669956703075E-01 a        77     0     4     1    17
  5.7080882203275041E-01 a        78     0     4     1    18
 -5.4792421728841689E-01 a        79     0     4     1    19
 -2.8254786488460121E-01 a        80     0     4     1    20
 -1.2142036229889859E-01 a        81     0     5     1     1
 -5.3033913703170177E-03 a        82     0     5     1     2
 -1.5280997195837687E-01 a        83     0     5     1     3
  1.3351321710950545E-01 a        84     0     5     1     4
 -1.4933470578746810E-01 a        85     0     5     1     5
 -2.5830000125760122E-01 a        86     0     5     1     6
 -4.7612398139483947E-01 a        87     0     5     1     7
  3.6580806731401594E-01 a        88     0     5     1     8
 -2.9999961609311437E-01 a        89     0     5     1     9
  4.9621980587246306E-01 a        90     0     5     1    10
 -2.9337904277961341E-01 a        91     0     5     1    11
  3.6259601627249494E-01 a        92     0     5     1    12
  3.4285245105622647E-01 a        93     0     5     1    13
 -9.0823118635963276E-02 a        94     0     5     1    14
  8.9697570774799187E-02 a        95     0     5     1    15
 -5.7060714935179768E-01 a        96     0     5     1    16
  2.8559954253250103E-01 a        97     0     5     1    17
  3.0164452889187154E-01 a        98     0     5     1    18
  4.7777750800575192E-01 a        99     0     5     1    19
  1.4870777809740379E-01 a       100     0     5     1    20
 -3.1799970094650992E-01 a       101     0     6     1     1
  2.5849104285128932E-01 a       102     0     6     1     2
  3.9525442504199521E-01 a       103     0     6     1     3
  1.7612993679321326E-01 a       104     0     6     1     4
  1.9368414462419950E-01 a       105     0     6     1     5
  4.1363506939981098E-01 a       106     0     6     1     6
 -7.1399171505194325E-01 a       107     0     6     1     7
 -2.7863359904394430E-01 a       108     0     6     1     8
 -3.2156783177915305E-01 a       109     0     6     1     9
  3.9588219599725238E-01 a       110     0     6     1    10
 -2.0382722927872080E-01 a       111     0     6     1    11
  4.4271988229069326E-01 a       112     0     6     1    12
  3.3206562420653507E-01 a       113     0     6     1    13
  1.1561595730731669E-01 a       114     0     6     1    14
 -2.1287725708301975E-03 a       115     0     6     1    15
  3.2445532501089530E-02 a       116     0     6     1    16
  1.3484086289731220E-01 a       117     0     6     1    17
  1.0404618953600564E+00 a       118     0     6     1    18
 -2.8095404738238705E-01 a       119     0     6     1    19
  1.5345832343067276E-01 a       120     0     6     1    20
